,,,,,,,,
,,,,,,,,
,,,,,,,,
Country,Survey,Characteristic,Fully vaccinated (8 basic antigens),,,,,
Congo Democratic Republic,2013-14 DHS,Vaccination card : Never had,16.4,,,,,
Congo Democratic Republic,2013-14 DHS,Old Provinces : Kinshasa (L1),67.7,,,,,
Congo Democratic Republic,2013-14 DHS,Old Provinces : Bas-Congo (L1),54.7,,,,,
Congo Democratic Republic,2013-14 DHS,Old Provinces : Bandundu (L1),42.1,,,,,
Congo Democratic Republic,2013-14 DHS,Kwango,49.2,,,,,
Congo Democratic Republic,2013-14 DHS,Kwilu,38.2,,,,,
Congo Democratic Republic,2013-14 DHS,Mai-Ndombe,40.2,,,,,
Congo Democratic Republic,2013-14 DHS,Old Provinces : Equateur (L1),32.6,,,,,
Congo Democratic Republic,2013-14 DHS,Equateur (>= 2015),50.1,,,,,
Congo Democratic Republic,2013-14 DHS,Mongala,5.8,,,,,
Congo Democratic Republic,2013-14 DHS,Nord-Ubangi,35.4,,,,,
Congo Democratic Republic,2013-14 DHS,Sud-Ubangi,41.9,,,,,
Congo Democratic Republic,2013-14 DHS,Tshuapa,21.2,,,,,
Congo Democratic Republic,2013-14 DHS,Old Provinces : Orientale (L1),29.9,,,,,
Congo Democratic Republic,2013-14 DHS,Bas-Uele,16.6,,,,,
Congo Democratic Republic,2013-14 DHS,Haut-Uele,21.5,,,,,
Congo Democratic Republic,2013-14 DHS,Ituri,47.4,,,,,
Congo Democratic Republic,2013-14 DHS,Tshopo,26.1,,,,,
Congo Democratic Republic,2013-14 DHS,Old Provinces : Nord-Kivu (L1),70.6,,,,,
Congo Democratic Republic,2013-14 DHS,Old Provinces : Maniema (L1),42,,,,,
Congo Democratic Republic,2013-14 DHS,Old Provinces : Sud-Kivu (L1),62.3,,,,,
Congo Democratic Republic,2013-14 DHS,Old Provinces : Katanga (L1),40.2,,,,,
Congo Democratic Republic,2013-14 DHS,Haut-Katanga,51.5,,,,,
Congo Democratic Republic,2013-14 DHS,Haut-Lomani,44.9,,,,,
Congo Democratic Republic,2013-14 DHS,Lualaba,31.7,,,,,
Congo Democratic Republic,2013-14 DHS,Tanganyka,13.8,,,,,
Congo Democratic Republic,2013-14 DHS,Old Provinces : Kasaï Oriental (L1),36.6,,,,,
Congo Democratic Republic,2013-14 DHS,Kasai-Oriental (>= 2015),47.7,,,,,
Congo Democratic Republic,2013-14 DHS,Lomani,36.9,,,,,
Congo Democratic Republic,2013-14 DHS,Sankuru,8.3,,,,,
Congo Democratic Republic,2013-14 DHS,Old Provinces : Kasaï Occident (L1),42.7,,,,,
Congo Democratic Republic,2013-14 DHS,Kasai,32.8,,,,,
Congo Democratic Republic,2013-14 DHS,Kasai-Central,49.9,,,,,
Congo Democratic Republic,2007 DHS,Total,30.6,,,,,
Congo Democratic Republic,2007 DHS,Sex : Male,29.6,,,,,
Congo Democratic Republic,2007 DHS,Sex : Female,31.6,,,,,
Congo Democratic Republic,2007 DHS,Residence : Urban,38.7,,,,,
Congo Democratic Republic,2007 DHS,Residence : Rural,25.4,,,,,
Congo Democratic Republic,2007 DHS,Education : No education,21,,,,,
Congo Democratic Republic,2007 DHS,Education : Primary,26.5,,,,,
Congo Democratic Republic,2007 DHS,Education : Secondary,39.9,,,,,
Congo Democratic Republic,2007 DHS,Education : Higher,,,,,,
Congo Democratic Republic,2007 DHS,Education (2 groups) : No education or primary,24.6,,,,,
Congo Democratic Republic,2007 DHS,Education (2 groups) : Secondary or higher,41,,,,,
Congo Democratic Republic,2007 DHS,Wealth quintile : Lowest,19.6,,,,,
Congo Democratic Republic,2007 DHS,Wealth quintile : Second,25.3,,,,,
Congo Democratic Republic,2007 DHS,Wealth quintile : Middle,30,,,,,
Congo Democratic Republic,2007 DHS,Wealth quintile : Fourth,32.8,,,,,
Congo Democratic Republic,2007 DHS,Wealth quintile : Highest,50.1,,,,,
Congo Democratic Republic,2007 DHS,Birth order : 1,33.6,,,,,
Congo Democratic Republic,2007 DHS,Birth order : 2-3,27.2,,,,,
Congo Democratic Republic,2007 DHS,Birth order : 4-5,32.3,,,,,
Congo Democratic Republic,2007 DHS,Birth order : 6+,30.8,,,,,
Congo Democratic Republic,2007 DHS,Vaccination card : Card seen,71.9,,,,,
Congo Democratic Republic,2007 DHS,Vaccination card : Card not seen/no longer has,25.2,,,,,
Congo Democratic Republic,2007 DHS,Vaccination card : Never had,5.1,,,,,
Congo Democratic Republic,2007 DHS,Provinces : Kinshasa (L1),57.8,,,,,
Congo Democratic Republic,2007 DHS,Provinces : Bas-Congo (L1),59.7,,,,,
Congo Democratic Republic,2007 DHS,Provinces : Bandundu (L1),44,,,,,
Congo Democratic Republic,2007 DHS,Provinces : Equateur (L1),14.6,,,,,
Congo Democratic Republic,2007 DHS,Provinces : Orientale (L1),18.1,,,,,
Congo Democratic Republic,2007 DHS,Provinces : Nord-Kivu (L1),66.5,,,,,
Congo Democratic Republic,2007 DHS,Provinces : Maniema (L1),9.9,,,,,
Congo Democratic Republic,2007 DHS,Provinces : Sud-Kivu (L1),37.3,,,,,
Congo Democratic Republic,2007 DHS,Provinces : Katanga (L1),25,,,,,
Congo Democratic Republic,2007 DHS,Provinces : Kasaï Oriental (L1),21.2,,,,,
Congo Democratic Republic,2007 DHS,Provinces : Kasaï Occident (L1),14.8,,,,,
,,,,,,,,
Fully vaccinated (8 basic antigens),"Percentage of children 12-23 (or 24-35) months who were fully vaccinated with 8 basic antigens (BCG, Polio 1-3, DPT 1-3, Measles)",,,,,,,
"ICF, 2015. The DHS Program STATcompiler. Funded by USAID. http://www.statcompiler.com. April 16 2026",,,,,,,,
