,ISO,Country / Region,Disease,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Bangladesh – BGD  ,BGD,Bangladesh,Measles,,247,281,311,203,2 410,5 827,2 263,4 001,972,240,289,237,1 986,5 625,788,718,2 660,2 924,6 192,25 934,9 743,4 067,3 484,4 414,5 098,5 666,6 522,10 329,4 929,4 995,9 571,5 443,5 768,9 292,1 705
Barbados – BRB  ,BRB,Barbados,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51
Belarus – BLR  ,BLR,Belarus,Measles,,754,193,0,3,0,201,259,1,10,2,64,16,10,50,1,0,0,1,149,1,2,21,14,45,21,153,517,135,395,1 516,820,3 874,2 324,1 351,224
Belgium – BEL  ,BEL,Belgium,Measles,,526,67,8,7,47,480,117,367,,47,70,39,109,576,40,33,98,64,15,26,61,44,,83,,,0,3 869,7 221,10 650,11 346,7 373,9 565,7 216,
Belize – BLZ  ,BLZ,Belize,Measles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,7,25
Benin – BEN  ,BEN,Benin,Measles,,785,478,455,35,18,437,493,97,89,55,786,637,288,426,392,1 461,928,341,176,210,262,217,1 588,5 859,4 244,2 573,648,9 521,1 365,10 469,7 557,4 102,3 049,5 396,
Bermuda – BMU  ,BMU,Bermuda,Measles,,2,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,2,1
Bhutan – BTN  ,BTN,Bhutan,Measles,,0,10,7,,,2,18,66,45,11,0,0,1,10,21,6,7,11,2,11,3,0,27,756,418,9 920,66,169,9,148,683,505,103,441,173
Bolivia – BOL  ,BOL,Bolivia (Plurinational State of),Measles,,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,1 441,1 004,7,7,76,1 441,3 391,4 937,2 108,820
Bonaire,BES  ,Bonaire,Measles,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina – BIH  ,BIH,Bosnia and Herzegovina,Measles,,7 957,13,6,,,1 404,62,18,133,1 677,3 000,,22,10,45,22,8,166,17,23,28,18,28,,43,133,2 811,3 937,,125,875,249,144,179,512
Botswana – BWA  ,BWA,Botswana,Measles,,3,63,1,0,5,0,0,0,1,0,1,1,7,8,853,184,0,1,6,5,1,59,7,1,2 672,439,700,5 032,1 030,478,2 447,5 327,566,565,1 218
Brazil – BRA  ,BRA,Brazil,Measles,,5,0,41,668,8 448,20 901,9 329,,0,214,876,220,2,43,68,0,0,0,57,6,0,2,1,1,36,908,2 781,52 284,580,793,35,6 037,7 934,42 537,61 435
