ISO,Country / Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
BEN,Benin,,785.0,478.0,455.0,35.0,18.0,437.0,493.0,97.0,89.0,55.0,786.0,637.0,288.0,426.0,392.0,1461.0,928.0,341.0,176.0,210.0,262.0,217.0,1588.0,5859.0,4244.0,2573.0,648.0,9521.0,1365.0,10469.0,7557.0,4102.0,3049.0,5396.0,
BMU,Bermuda,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
BTN,Bhutan,,0.0,10.0,7.0,,,2.0,18.0,66.0,45.0,11.0,0.0,0.0,1.0,10.0,21.0,6.0,7.0,11.0,2.0,11.0,3.0,0.0,27.0,756.0,418.0,9920.0,66.0,169.0,9.0,148.0,683.0,505.0,103.0,441.0,173.0
BOL,Bolivia (Plurinational State of),,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,1441.0,1004.0,7.0,7.0,76.0,1441.0,3391.0,4937.0,2108.0,820.0
BES,Bonaire,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,,7957.0,13.0,6.0,,,1404.0,62.0,18.0,133.0,1677.0,3000.0,,22.0,10.0,45.0,22.0,8.0,166.0,17.0,23.0,28.0,18.0,28.0,,43.0,133.0,2811.0,3937.0,,125.0,875.0,249.0,144.0,179.0,512.0
BWA,Botswana,,3.0,63.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,8.0,853.0,184.0,0.0,1.0,6.0,5.0,1.0,59.0,7.0,1.0,2672.0,439.0,700.0,5032.0,1030.0,478.0,2447.0,5327.0,566.0,565.0,1218.0
BRA,Brazil,,5.0,0.0,41.0,668.0,8448.0,20901.0,9329.0,,0.0,214.0,876.0,220.0,2.0,43.0,68.0,0.0,0.0,0.0,57.0,6.0,0.0,2.0,1.0,1.0,36.0,908.0,2781.0,52284.0,580.0,793.0,35.0,6037.0,7934.0,42537.0,61435.0
VGB,British Virgin Islands,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
BRN,Brunei Darussalam,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,,1.0,4.0,0.0,2.0,3.0,,,9.0,16.0,24.0,,11.0,42.0,23.0,12.0,13.0,,,,50.0,51.0,,12.0
BGR,Bulgaria,,27.0,0.0,1.0,0.0,257.0,1231.0,13.0,165.0,1.0,0.0,0.0,14.0,1.0,157.0,22004.0,2249.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,8.0,46.0,24.0,80.0,23.0,695.0,172.0,121.0,354.0,20258.0,2028.0,147.0
BFA,Burkina Faso,,4397.0,680.0,252.0,,2480.0,672.0,4072.0,49.0,226.0,99.0,343.0,375.0,7362.0,860.0,2511.0,54118.0,395.0,12.0,125.0,253.0,77.0,2946.0,1744.0,4174.0,6074.0,5516.0,,1438.0,18534.0,5669.0,2925.0,14445.0,21751.0,6590.0,9804.0
BDI,Burundi,,2741.0,1684.0,212.0,369.0,1700.0,112.0,9.0,18.0,16.0,9.0,0.0,0.0,49.0,129.0,495.0,305.0,173.0,43.0,784.0,0.0,2.0,224.0,1016.0,,18363.0,2928.0,1449.0,1273.0,16099.0,14782.0,7192.0,23869.0,22344.0,10397.0,13282.0
CPV,Cabo Verde,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,289.0,8584.0,0.0,10.0,30.0,0.0,1.0,7.0,0.0
KHM,Cambodia,,666.0,11.0,13.0,5.0,379.0,684.0,3.0,10.0,56.0,0.0,0.0,0.0,15.0,722.0,1156.0,4779.0,4211.0,394.0,188.0,264.0,352.0,653.0,1361.0,3761.0,12237.0,13827.0,1993.0,3826.0,2814.0,2038.0,946.0,1262.0,2759.0,2186.0,2473.0
CMR,Cameroon,,863.0,6105.0,3217.0,771.0,1509.0,2809.0,814.0,712.0,338.0,1809.0,831.0,760.0,609.0,504.0,240.0,251.0,495.0,100.0,196.0,605.0,358.0,899.0,1448.0,23934.0,14629.0,10894.0,10731.0,7504.0,11770.0,2463.0,1548.0,10892.0,27442.0,14622.0,21150.0
CAN,Canada,,147.0,12.0,3.0,0.0,1.0,113.0,28.0,45.0,11.0,195.0,418.0,83.0,10.0,803.0,99.0,14.0,62.0,101.0,13.0,6.0,7.0,15.0,6.0,34.0,206.0,29.0,12.0,579.0,327.0,2361.0,523.0,203.0,2742.0,6178.0,1033.0
CYM,Cayman Islands,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAF,Central African Republic,,125.0,3841.0,155.0,286.0,3433.0,3390.0,224.0,801.0,367.0,150.0,210.0,596.0,141.0,679.0,2.0,11.0,12.0,49.0,3.0,471.0,1233.0,652.0,938.0,2837.0,3207.0,600.0,146.0,194.0,248.0,902.0,,1694.0,3022.0,3644.0,1275.0
TCD,Chad,,6978.0,11862.0,2158.0,2577.0,2170.0,1882.0,1457.0,9.0,118.0,418.0,1275.0,226.0,120.0,8650.0,194.0,165.0,63.0,441.0,1594.0,2.0,10324.0,15801.0,7277.0,24908.0,3546.0,6868.0,12371.0,10446.0,24162.0,21952.0,9696.0,20894.0,19035.0,21182.0,7226.0
CHL,Chile,,0.0,1.0,0.0,0.0,2.0,11.0,24.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,6.0,58.0,0.0,0.0,0.0,1.0,1.0,2098.0,1958.0
CHN,China,,1272.0,621.0,552.0,554.0,867.0,2974.0,3940.0,5941.0,24820.0,42361.0,52628.0,26883.0,6183.0,9943.0,38159.0,52461.0,131441.0,109023.0,99602.0,124219.0,70549.0,71879.0,58341.0,88962.0,71093.0,61840.0,53030.0,79621.0,68404.0,53232.0,76204.0,117851.0,140048.0,123428.0,85705.0
HKG,China  Hong Kong SAR,,9.0,4.0,3.0,1.0,1.0,90.0,17.0,4.0,9.0,18.0,50.0,8.0,8.0,13.0,13.0,22.0,69.0,88.0,,,,33.0,,179.0,60.0,32.0,56.0,318.0,110.0,33.0,210.0,29.0,329.0,278.0,48.0
MAC,China  Macao SAR,,0.0,0.0,0.0,0.0,0.0,37.0,3.0,2.0,0.0,0.0,,1.0,1.0,1.0,,0.0,4.0,0.0,,0.0,0.0,3.0,,3.0,5.0,1.0,0.0,3.0,,3.0,52.0,21.0,35.0,1.0,19.0
COL,Colombia,,0.0,0.0,0.0,0.0,1.0,244.0,208.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,3.0,1.0,44.0,61.0,67.0,160.0,410.0,525.0,9105.0,7976.0,10391.0,12520.0
