CODE,NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BLR,Belarus,,,94.0,96.0,97.0,93.0,96.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,98.0,97.0,98.0,98.0,97.0,98.0,98.0,97.0,98.0
BLZ,Belize,86.0,76.0,69.0,80.0,82.0,83.0,81.0,85.0,84.0,82.0,96.0,94.0,88.0,96.0,97.0,95.0,99.0,96.0,96.0,97.0,98.0,98.0,96.0,99.0,95.0,96.0,95.0,90.0,97.0,96.0,82.0,79.0,81.0,93.0,84.0
BOL,Bolivia (Plurinational State of),53.0,54.0,57.0,57.0,64.0,58.0,61.0,51.0,65.0,79.0,84.0,88.0,91.0,96.0,90.0,89.0,88.0,86.0,92.0,93.0,88.0,96.0,92.0,87.0,89.0,95.0,94.0,83.0,89.0,79.0,74.0,75.0,69.0,68.0,67.0
BRA,Brazil,78.0,85.0,91.0,85.0,77.0,87.0,80.0,99.0,95.0,99.0,99.0,99.0,96.0,97.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,95.0,87.0,92.0,91.0,79.0,73.0,81.0,87.0,93.0
BRB,Barbados,87.0,92.0,90.0,92.0,97.0,92.0,99.0,92.0,97.0,86.0,94.0,93.0,91.0,90.0,98.0,93.0,92.0,75.0,94.0,94.0,85.0,93.0,90.0,87.0,95.0,96.0,92.0,92.0,85.0,92.0,89.0,77.0,85.0,89.0,88.0
BRN,Brunei Darussalam,99.0,96.0,92.0,99.0,99.0,99.0,99.0,98.0,99.0,94.0,99.0,99.0,99.0,98.0,99.0,98.0,97.0,97.0,99.0,99.0,94.0,91.0,95.0,96.0,97.0,96.0,98.0,97.0,99.0,97.0,99.0,99.0,97.0,97.0,99.0
BTN,Bhutan,93.0,89.0,86.0,84.0,81.0,85.0,85.0,84.0,71.0,77.0,78.0,78.0,78.0,88.0,87.0,93.0,90.0,95.0,99.0,94.0,95.0,95.0,95.0,94.0,97.0,97.0,97.0,97.0,97.0,97.0,93.0,97.0,97.0,99.0,97.0
BWA,Botswana,87.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,87.0,97.0,90.0,97.0,97.0
CAF,Central African Republic,82.0,57.0,32.0,42.0,52.0,46.0,44.0,42.0,37.0,37.0,36.0,35.0,42.0,49.0,55.0,62.0,61.0,59.0,58.0,56.0,53.0,49.0,48.0,25.0,47.0,46.0,45.0,41.0,39.0,37.0,36.0,34.0,32.0,39.0,41.0
CAN,Canada,89.0,92.0,94.0,96.0,97.0,96.0,97.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,93.0,94.0,93.0,91.0,90.0,88.0,89.0,90.0,90.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,92.0,92.0,92.0
CHE,Switzerland,90.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,87.0,87.0,87.0,92.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,97.0,95.0,96.0,95.0,96.0
CHL,Chile,97.0,99.0,89.0,94.0,96.0,97.0,93.0,96.0,98.0,94.0,97.0,96.0,95.0,96.0,94.0,90.0,91.0,92.0,96.0,93.0,93.0,91.0,90.0,90.0,97.0,96.0,93.0,93.0,93.0,95.0,91.0,92.0,94.0,94.0,93.0
CHN,China,98.0,92.0,87.0,81.0,75.0,80.0,84.0,83.0,83.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,93.0,94.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,95.0
