CODE,NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
KGZ,Kyrgyzstan,,,94.0,93.0,88.0,97.0,98.0,98.0,98.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,97.0,98.0,99.0,96.0,99.0,97.0,95.0,96.0,96.0,92.0,93.0,94.0,96.0,96.0
KHM,Cambodia,34.0,39.0,33.0,36.0,50.0,62.0,56.0,50.0,54.0,63.0,65.0,59.0,52.0,65.0,80.0,79.0,78.0,79.0,89.0,92.0,90.0,88.0,84.0,79.0,83.0,85.0,85.0,85.0,86.0,87.0,83.0,83.0,83.0,79.0,83.0
KIR,Kiribati,75.0,62.0,77.0,89.0,70.0,47.0,64.0,82.0,77.0,62.0,80.0,76.0,88.0,72.0,56.0,85.0,61.0,93.0,72.0,82.0,89.0,90.0,91.0,91.0,88.0,84.0,80.0,81.0,84.0,94.0,82.0,80.0,85.0,79.0,79.0
KNA,Saint Kitts and Nevis,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,90.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,99.0,93.0,95.0,98.0,93.0,96.0,97.0,95.0,96.0,95.0,95.0,95.0
KOR,Republic of Korea,93.0,93.0,93.0,92.0,92.0,93.0,89.0,85.0,85.0,90.0,95.0,96.0,97.0,96.0,99.0,99.0,99.0,92.0,92.0,93.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0
KWT,Kuwait,66.0,75.0,85.0,95.0,98.0,98.0,99.0,95.0,99.0,96.0,99.0,99.0,97.0,97.0,97.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,94.0,93.0,99.0,99.0,98.0,97.0,95.0,94.0,99.0,99.0,98.0
LAO,Lao People's Democratic Republic,32.0,47.0,46.0,46.0,73.0,68.0,73.0,67.0,71.0,71.0,42.0,50.0,55.0,42.0,36.0,41.0,48.0,40.0,52.0,59.0,64.0,67.0,69.0,78.0,81.0,78.0,76.0,78.0,75.0,70.0,63.0,62.0,65.0,69.0,69.0
LBN,Lebanon,61.0,65.0,76.0,88.0,88.0,85.0,85.0,89.0,83.0,77.0,71.0,65.0,59.0,53.0,60.0,67.0,75.0,82.0,89.0,88.0,86.0,85.0,83.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,74.0,67.0,67.0,67.0,67.0
LBR,Liberia,,,,,,,,,,69.0,63.0,58.0,52.0,47.0,41.0,62.0,63.0,71.0,76.0,83.0,65.0,71.0,80.0,74.0,58.0,64.0,70.0,75.0,74.0,68.0,61.0,58.0,79.0,82.0,82.0
LBY,Libya,89.0,87.0,88.0,91.0,92.0,92.0,93.0,91.0,92.0,92.0,93.0,93.0,91.0,96.0,99.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,93.0,98.0,97.0,95.0,73.0,73.0,73.0,73.0,73.0,73.0,89.0
LCA,Saint Lucia,82.0,97.0,75.0,94.0,92.0,94.0,95.0,95.0,90.0,95.0,88.0,89.0,98.0,90.0,95.0,94.0,94.0,94.0,99.0,99.0,95.0,91.0,99.0,99.0,99.0,97.0,99.0,87.0,86.0,96.0,89.0,77.0,81.0,85.0,83.0
LKA,Sri Lanka,80.0,79.0,82.0,86.0,84.0,87.0,89.0,94.0,94.0,95.0,99.0,99.0,99.0,99.0,96.0,99.0,99.0,98.0,98.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,97.0,99.0,99.0,99.0
LSO,Lesotho,80.0,81.0,81.0,82.0,82.0,83.0,82.0,80.0,79.0,77.0,74.0,70.0,78.0,85.0,84.0,83.0,82.0,81.0,80.0,84.0,88.0,92.0,91.0,90.0,92.0,93.0,90.0,89.0,89.0,90.0,90.0,90.0,84.0,76.0,90.0
LTU,Lithuania,,,89.0,92.0,93.0,94.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,94.0,93.0,93.0,93.0,94.0,94.0,94.0,92.0,93.0,90.0,88.0,87.0,87.0,86.0
LUX,Luxembourg,80.0,80.0,80.0,83.0,86.0,88.0,91.0,91.0,92.0,92.0,93.0,94.0,94.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,99.0,99.0,99.0,99.0,99.0
LVA,Latvia,,,95.0,80.0,81.0,81.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,95.0,96.0,92.0,95.0,92.0,90.0,96.0,95.0,96.0,93.0,96.0,98.0,99.0,99.0,97.0,96.0,97.0,98.0
MAR,Morocco,79.0,80.0,81.0,83.0,87.0,88.0,93.0,92.0,91.0,90.0,93.0,96.0,94.0,90.0,95.0,97.0,95.0,95.0,96.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0
MCO,Monaco,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,97.0,96.0,96.0,94.0,95.0,94.0,92.0,93.0,91.0,91.0,91.0,90.0,89.0,89.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
MDA,Republic of Moldova,,,73.0,64.0,85.0,91.0,90.0,95.0,93.0,93.0,89.0,94.0,94.0,96.0,96.0,97.0,96.0,96.0,95.0,90.0,97.0,91.0,91.0,91.0,90.0,89.0,88.0,93.0,93.0,97.0,84.0,83.0,84.0,85.0,84.0
MDG,Madagascar,47.0,54.0,54.0,54.0,63.0,55.0,46.0,46.0,51.0,55.0,57.0,59.0,61.0,65.0,79.0,74.0,71.0,81.0,70.0,63.0,66.0,62.0,63.0,64.0,66.0,60.0,62.0,55.0,68.0,60.0,55.0,43.0,44.0,51.0,46.0
MDV,Maldives,96.0,97.0,98.0,86.0,97.0,96.0,95.0,96.0,98.0,97.0,99.0,98.0,97.0,96.0,97.0,97.0,97.0,97.0,97.0,98.0,97.0,96.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,98.0,99.0,99.0
MEX,Mexico,75.0,89.0,88.0,79.0,90.0,90.0,93.0,91.0,96.0,94.0,96.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,98.0,99.0,89.0,98.0,98.0,97.0,76.0,97.0,73.0,92.0,99.0,86.0,76.0,80.0
MHL,Marshall Islands,52.0,74.0,86.0,36.0,59.0,57.0,69.0,52.0,93.0,93.0,94.0,64.0,80.0,90.0,70.0,86.0,96.0,94.0,86.0,78.0,97.0,88.0,78.0,79.0,79.0,75.0,75.0,83.0,83.0,85.0,89.0,85.0,81.0,88.0,88.0
MKD,North Macedonia,,,,98.0,88.0,97.0,91.0,98.0,96.0,98.0,97.0,92.0,98.0,96.0,96.0,96.0,94.0,96.0,98.0,96.0,98.0,97.0,96.0,96.0,93.0,89.0,82.0,83.0,75.0,75.0,63.0,70.0,71.0,73.0,73.0
MLI,Mali,43.0,42.0,35.0,51.0,46.0,52.0,57.0,56.0,54.0,51.0,49.0,54.0,56.0,57.0,63.0,73.0,68.0,66.0,71.0,73.0,78.0,72.0,67.0,62.0,65.0,67.0,70.0,70.0,71.0,71.0,62.0,72.0,69.0,68.0,72.0
MLT,Malta,80.0,90.0,92.0,90.0,71.0,51.0,51.0,56.0,60.0,67.0,74.0,70.0,65.0,90.0,94.0,86.0,94.0,79.0,78.0,82.0,73.0,84.0,93.0,99.0,98.0,89.0,93.0,91.0,96.0,96.0,95.0,90.0,96.0,95.0,88.0
MMR,Myanmar,68.0,67.0,68.0,71.0,77.0,82.0,86.0,88.0,89.0,86.0,84.0,73.0,77.0,80.0,86.0,84.0,78.0,81.0,82.0,87.0,88.0,88.0,84.0,86.0,88.0,84.0,91.0,83.0,93.0,84.0,91.0,44.0,75.0,73.0,71.0
MNE,Montenegro,,,,,,,,,,,,,,,,,90.0,90.0,89.0,86.0,90.0,91.0,90.0,88.0,76.0,64.0,47.0,58.0,42.0,37.0,24.0,18.0,33.0,24.0,23.0
MNG,Mongolia,92.0,82.0,84.0,84.0,80.0,85.0,89.0,91.0,93.0,93.0,92.0,95.0,98.0,98.0,99.0,97.0,99.0,98.0,97.0,94.0,97.0,98.0,99.0,97.0,98.0,98.0,99.0,99.0,99.0,98.0,97.0,95.0,94.0,96.0,96.0
MOZ,Mozambique,59.0,55.0,56.0,62.0,65.0,71.0,58.0,61.0,64.0,67.0,71.0,74.0,77.0,80.0,79.0,78.0,76.0,75.0,77.0,80.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,73.0,62.0,63.0,65.0,65.0
MRT,Mauritania,38.0,32.0,43.0,49.0,53.0,67.0,66.0,64.0,63.0,62.0,46.0,58.0,87.0,84.0,73.0,65.0,62.0,67.0,65.0,59.0,67.0,67.0,75.0,80.0,75.0,70.0,73.0,75.0,78.0,75.0,82.0,75.0,84.0,92.0,93.0
MUS,Mauritius,76.0,88.0,84.0,84.0,85.0,89.0,61.0,87.0,85.0,80.0,84.0,90.0,84.0,91.0,98.0,98.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,92.0,89.0,99.0,99.0,98.0,97.0,98.0,96.0,98.0
MWI,Malawi,81.0,85.0,91.0,87.0,83.0,90.0,90.0,87.0,90.0,82.0,73.0,81.0,69.0,77.0,80.0,82.0,85.0,83.0,88.0,92.0,93.0,96.0,90.0,88.0,85.0,87.0,81.0,83.0,87.0,92.0,90.0,90.0,82.0,87.0,89.0
MYS,Malaysia,70.0,80.0,82.0,81.0,95.0,97.0,97.0,98.0,96.0,97.0,96.0,95.0,94.0,93.0,95.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,92.0,93.0,96.0,96.0,98.0,97.0,95.0,96.0,96.0,96.0,96.0
NAM,Namibia,,76.0,76.0,71.0,70.0,68.0,61.0,59.0,64.0,65.0,69.0,58.0,68.0,70.0,70.0,73.0,63.0,69.0,73.0,76.0,75.0,74.0,76.0,82.0,83.0,85.0,75.0,80.0,82.0,80.0,90.0,91.0,89.0,86.0,79.0
NER,Niger,25.0,28.0,21.0,19.0,19.0,40.0,38.0,35.0,35.0,35.0,37.0,39.0,41.0,43.0,45.0,47.0,53.0,60.0,66.0,69.0,67.0,69.0,75.0,80.0,80.0,85.0,76.0,82.0,77.0,79.0,79.0,80.0,65.0,80.0,81.0
NGA,Nigeria,54.0,57.0,43.0,40.0,41.0,44.0,38.0,38.0,38.0,35.0,33.0,32.0,30.0,34.0,37.0,41.0,44.0,41.0,53.0,64.0,56.0,53.0,41.0,42.0,42.0,42.0,48.0,54.0,56.0,58.0,60.0,56.0,51.0,54.0,57.0
NIU,Niue,99.0,99.0,99.0,99.0,99.0,34.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,86.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
NLD,Netherlands (Kingdom of the),94.0,94.0,95.0,94.0,94.0,94.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,96.0,96.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,94.0,93.0,93.0,94.0,94.0,93.0,89.0,89.0,89.0
NOR,Norway,87.0,94.0,96.0,93.0,94.0,92.0,92.0,93.0,91.0,90.0,88.0,90.0,87.0,86.0,89.0,90.0,92.0,92.0,93.0,93.0,93.0,93.0,94.0,93.0,94.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,96.0,96.0,96.0
NPL,Nepal,57.0,57.0,58.0,58.0,58.0,56.0,65.0,73.0,67.0,81.0,71.0,71.0,71.0,75.0,73.0,74.0,85.0,81.0,79.0,90.0,86.0,88.0,86.0,88.0,88.0,85.0,83.0,90.0,91.0,92.0,87.0,90.0,90.0,93.0,97.0
NRU,Nauru,,,,,,,,99.0,90.0,49.0,8.0,95.0,40.0,53.0,67.0,80.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,97.0,98.0,98.0,98.0,95.0,99.0,95.0,98.0,98.0,98.0,98.0,98.0
NZL,New Zealand,90.0,82.0,82.0,85.0,87.0,84.0,92.0,99.0,81.0,83.0,85.0,85.0,84.0,84.0,83.0,82.0,82.0,79.0,86.0,89.0,91.0,93.0,92.0,92.0,93.0,93.0,92.0,93.0,92.0,92.0,91.0,91.0,90.0,89.0,89.0
OMN,Oman,98.0,96.0,96.0,95.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,96.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0
PAK,Pakistan,50.0,51.0,52.0,52.0,53.0,47.0,50.0,52.0,54.0,56.0,57.0,59.0,60.0,62.0,63.0,61.0,59.0,57.0,56.0,56.0,57.0,59.0,63.0,68.0,71.0,75.0,75.0,76.0,79.0,81.0,83.0,81.0,82.0,84.0,86.0
PAN,Panama,73.0,80.0,76.0,83.0,84.0,84.0,90.0,92.0,96.0,90.0,97.0,95.0,95.0,95.0,97.0,99.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,92.0,90.0,93.0,95.0,98.0,98.0,97.0,80.0,92.0,87.0,88.0,93.0
PER,Peru,64.0,74.0,83.0,75.0,75.0,98.0,87.0,91.0,93.0,93.0,97.0,97.0,95.0,95.0,85.0,77.0,93.0,92.0,92.0,91.0,94.0,96.0,94.0,85.0,89.0,92.0,89.0,88.0,86.0,85.0,77.0,78.0,74.0,84.0,89.0
PHL,Philippines,85.0,83.0,81.0,78.0,75.0,72.0,76.0,79.0,80.0,80.0,78.0,81.0,82.0,87.0,92.0,92.0,92.0,92.0,90.0,89.0,87.0,86.0,84.0,83.0,81.0,80.0,80.0,81.0,82.0,83.0,79.0,64.0,76.0,81.0,80.0
PLW,Palau,98.0,98.0,94.0,32.0,41.0,99.0,99.0,83.0,74.0,96.0,83.0,91.0,99.0,99.0,99.0,98.0,98.0,91.0,97.0,75.0,39.0,85.0,91.0,99.0,83.0,95.0,96.0,93.0,90.0,97.0,93.0,93.0,96.0,96.0,96.0
PNG,Papua New Guinea,67.0,69.0,70.0,28.0,36.0,42.0,24.0,50.0,63.0,67.0,69.0,65.0,73.0,77.0,77.0,82.0,82.0,72.0,66.0,65.0,63.0,66.0,71.0,72.0,65.0,57.0,46.0,41.0,37.0,37.0,44.0,35.0,41.0,52.0,44.0
POL,Poland,95.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,97.0,97.0,98.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,96.0,94.0,93.0,93.0,92.0,91.0,91.0,92.0,92.0
PRK,Democratic People's Republic of Korea,98.0,98.0,99.0,99.0,83.0,67.0,50.0,34.0,49.0,63.0,78.0,92.0,98.0,95.0,95.0,96.0,96.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0
PRT,Portugal,85.0,96.0,99.0,95.0,91.0,94.0,99.0,96.0,96.0,92.0,87.0,90.0,93.0,96.0,95.0,93.0,97.0,95.0,97.0,95.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,98.0,98.0,98.0,99.0
PRY,Paraguay,69.0,74.0,87.0,96.0,76.0,75.0,81.0,61.0,71.0,82.0,92.0,90.0,86.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,93.0,91.0,88.0,88.0,84.0,78.0,85.0,92.0,93.0,87.0,80.0,68.0,54.0,83.0,90.0
PSE,"occupied Palestinian territory, including east Jerusalem",,,,91.0,96.0,73.0,95.0,96.0,92.0,92.0,93.0,98.0,94.0,99.0,96.0,98.0,99.0,98.0,96.0,97.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,89.0,89.0
QAT,Qatar,79.0,84.0,86.0,86.0,86.0,87.0,90.0,87.0,89.0,87.0,91.0,92.0,99.0,93.0,99.0,99.0,99.0,92.0,96.0,99.0,99.0,98.0,97.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,90.0,99.0,99.0,99.0,99.0
ROU,Romania,92.0,92.0,91.0,93.0,91.0,93.0,94.0,97.0,97.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,95.0,97.0,96.0,96.0,95.0,93.0,94.0,92.0,89.0,86.0,86.0,87.0,90.0,90.0,87.0,86.0,83.0,78.0,78.0
RUS,Russian Federation,,,83.0,88.0,81.0,85.0,88.0,91.0,94.0,97.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0
RWA,Rwanda,83.0,89.0,82.0,74.0,25.0,84.0,76.0,66.0,72.0,78.0,74.0,69.0,69.0,90.0,84.0,89.0,95.0,94.0,92.0,95.0,95.0,95.0,97.0,95.0,97.0,96.0,95.0,97.0,99.0,96.0,94.0,87.0,99.0,96.0,97.0
SAU,Saudi Arabia,88.0,95.0,88.0,91.0,93.0,94.0,92.0,92.0,93.0,92.0,94.0,94.0,97.0,96.0,97.0,97.0,95.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,98.0,95.0,96.0,98.0,98.0,97.0,96.0
SDN,Sudan,57.0,57.0,52.0,49.0,48.0,51.0,59.0,58.0,49.0,51.0,58.0,58.0,58.0,65.0,67.0,69.0,73.0,79.0,79.0,82.0,90.0,87.0,85.0,85.0,86.0,87.0,87.0,90.0,88.0,90.0,86.0,81.0,80.0,51.0,46.0
SEN,Senegal,51.0,54.0,57.0,58.0,59.0,80.0,70.0,65.0,62.0,60.0,48.0,48.0,54.0,60.0,57.0,74.0,80.0,84.0,77.0,79.0,81.0,84.0,83.0,84.0,80.0,80.0,93.0,90.0,86.0,86.0,82.0,88.0,87.0,87.0,87.0
SGP,Singapore,84.0,92.0,89.0,87.0,95.0,97.0,97.0,98.0,96.0,97.0,96.0,95.0,94.0,93.0,95.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,97.0,96.0,97.0,96.0,96.0,97.0,97.0
SLB,Solomon Islands,70.0,76.0,70.0,64.0,60.0,68.0,90.0,68.0,66.0,99.0,91.0,83.0,78.0,82.0,87.0,87.0,99.0,90.0,71.0,69.0,74.0,77.0,87.0,76.0,76.0,75.0,82.0,84.0,93.0,81.0,81.0,67.0,90.0,68.0,78.0
SLE,Sierra Leone,,,,,,,,,,62.0,37.0,50.0,62.0,73.0,76.0,71.0,65.0,60.0,73.0,80.0,82.0,84.0,86.0,85.0,80.0,78.0,85.0,80.0,87.0,93.0,87.0,87.0,90.0,90.0,90.0
SLV,El Salvador,98.0,54.0,55.0,86.0,80.0,93.0,94.0,98.0,99.0,94.0,97.0,95.0,93.0,90.0,93.0,99.0,98.0,99.0,95.0,91.0,92.0,89.0,93.0,94.0,96.0,97.0,98.0,89.0,87.0,96.0,84.0,97.0,80.0,99.0,96.0
SMR,San Marino,,99.0,99.0,96.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,97.0,96.0,94.0,94.0,94.0,90.0,90.0,86.0,88.0,88.0,90.0,84.0,82.0,81.0,84.0,82.0,86.0,89.0,86.0,90.0,89.0,91.0,89.0,85.0
SOM,Somalia,30.0,30.0,32.0,33.0,35.0,34.0,33.0,25.0,32.0,38.0,24.0,20.0,45.0,40.0,40.0,35.0,35.0,35.0,34.0,43.0,46.0,46.0,46.0,47.0,48.0,50.0,51.0,52.0,53.0,52.0,52.0,58.0,69.0,63.0,64.0
SRB,Serbia,,,82.0,85.0,81.0,86.0,90.0,92.0,88.0,84.0,89.0,90.0,92.0,87.0,89.0,96.0,88.0,95.0,92.0,95.0,95.0,93.0,87.0,92.0,86.0,87.0,82.0,86.0,93.0,87.0,78.0,75.0,81.0,84.0,84.0
SSD,South Sudan,,,,,,,,,,,,,,,,,,,,,,62.0,59.0,57.0,54.0,52.0,51.0,56.0,61.0,65.0,69.0,74.0,72.0,72.0,72.0
STP,Sao Tome and Principe,71.0,77.0,52.0,57.0,65.0,74.0,57.0,60.0,59.0,64.0,69.0,75.0,85.0,87.0,91.0,88.0,85.0,86.0,93.0,90.0,92.0,91.0,92.0,91.0,92.0,93.0,93.0,90.0,95.0,95.0,86.0,77.0,82.0,87.0,87.0
SUR,Suriname,65.0,84.0,61.0,61.0,72.0,85.0,87.0,79.0,82.0,85.0,84.0,82.0,73.0,69.0,86.0,91.0,83.0,85.0,86.0,88.0,87.0,79.0,64.0,81.0,70.0,76.0,76.0,76.0,77.0,64.0,45.0,58.0,74.0,71.0,73.0
SVK,Slovakia,,,,,97.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,97.0,95.0,95.0,96.0,96.0,96.0,96.0,95.0,95.0,94.0,94.0
SVN,Slovenia,,,90.0,90.0,91.0,93.0,93.0,82.0,93.0,98.0,95.0,94.0,93.0,94.0,94.0,94.0,96.0,96.0,96.0,95.0,95.0,96.0,95.0,94.0,94.0,94.0,92.0,93.0,93.0,94.0,94.0,95.0,96.0,95.0,95.0
SWE,Sweden,96.0,96.0,96.0,97.0,97.0,97.0,96.0,96.0,94.0,89.0,91.0,94.0,95.0,95.0,96.0,96.0,97.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,93.0,93.0,93.0
SWZ,Eswatini,85.0,80.0,85.0,85.0,94.0,94.0,82.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,87.0,88.0,97.0,97.0,89.0,89.0,89.0,85.0,81.0,76.0,80.0,83.0,85.0,85.0
SYC,Seychelles,86.0,89.0,92.0,92.0,92.0,97.0,98.0,99.0,93.0,99.0,97.0,95.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,99.0,98.0,97.0,99.0,98.0,97.0,99.0,96.0,99.0,97.0,94.0,98.0,93.0,97.0
SYR,Syrian Arab Republic,87.0,84.0,84.0,86.0,86.0,85.0,85.0,84.0,87.0,86.0,84.0,80.0,84.0,83.0,82.0,81.0,81.0,81.0,81.0,82.0,82.0,80.0,72.0,69.0,65.0,64.0,73.0,78.0,74.0,76.0,70.0,70.0,52.0,74.0,81.0
TCD,Chad,32.0,28.0,25.0,19.0,24.0,26.0,22.0,30.0,20.0,30.0,28.0,26.0,25.0,23.0,16.0,27.0,39.0,31.0,27.0,36.0,46.0,54.0,63.0,57.0,45.0,46.0,37.0,37.0,41.0,40.0,45.0,53.0,54.0,63.0,66.0
TGO,Togo,73.0,69.0,64.0,60.0,57.0,53.0,48.0,43.0,40.0,57.0,58.0,40.0,48.0,68.0,70.0,70.0,78.0,71.0,63.0,66.0,68.0,72.0,72.0,72.0,77.0,75.0,73.0,78.0,73.0,78.0,75.0,77.0,79.0,81.0,81.0
THA,Thailand,80.0,79.0,74.0,80.0,86.0,91.0,92.0,93.0,96.0,96.0,94.0,94.0,94.0,96.0,96.0,96.0,96.0,96.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,96.0,93.0,93.0,93.0,93.0
TJK,Tajikistan,,,68.0,81.0,73.0,70.0,79.0,84.0,83.0,79.0,88.0,88.0,89.0,91.0,92.0,85.0,82.0,85.0,86.0,89.0,94.0,98.0,97.0,97.0,98.0,97.0,97.0,98.0,98.0,98.0,98.0,97.0,98.0,98.0,98.0
TKM,Turkmenistan,,,76.0,84.0,90.0,92.0,98.0,99.0,99.0,97.0,96.0,98.0,88.0,97.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,98.0,99.0,99.0
TLS,Timor-Leste,,,,,,,,,,,,,56.0,55.0,55.0,48.0,61.0,63.0,73.0,70.0,66.0,62.0,73.0,70.0,74.0,70.0,73.0,77.0,77.0,75.0,74.0,72.0,72.0,72.0,72.0
TON,Tonga,86.0,90.0,87.0,87.0,86.0,94.0,95.0,97.0,96.0,97.0,95.0,93.0,90.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
TTO,Trinidad and Tobago,70.0,93.0,83.0,87.0,86.0,84.0,88.0,88.0,90.0,88.0,90.0,91.0,87.0,88.0,95.0,93.0,89.0,91.0,91.0,94.0,92.0,92.0,85.0,91.0,96.0,89.0,86.0,93.0,90.0,99.0,91.0,93.0,92.0,90.0,96.0
TUN,Tunisia,93.0,94.0,94.0,92.0,91.0,91.0,92.0,92.0,94.0,90.0,95.0,92.0,94.0,90.0,95.0,96.0,98.0,98.0,98.0,98.0,97.0,96.0,96.0,94.0,98.0,98.0,96.0,98.0,96.0,98.0,98.0,95.0,95.0,96.0,96.0
TUR,Türkiye,78.0,73.0,78.0,72.0,76.0,65.0,72.0,79.0,81.0,82.0,87.0,91.0,83.0,75.0,81.0,91.0,98.0,96.0,97.0,97.0,97.0,98.0,96.0,98.0,94.0,97.0,98.0,96.0,96.0,97.0,95.0,96.0,95.0,95.0,95.0
TUV,Tuvalu,95.0,63.0,66.0,64.0,79.0,94.0,94.0,99.0,96.0,94.0,81.0,99.0,99.0,95.0,97.0,62.0,84.0,95.0,93.0,90.0,85.0,98.0,98.0,96.0,94.0,94.0,96.0,95.0,88.0,96.0,93.0,93.0,90.0,98.0,97.0
TZA,United Republic of Tanzania,80.0,79.0,81.0,77.0,79.0,78.0,78.0,73.0,72.0,72.0,78.0,86.0,89.0,97.0,94.0,91.0,93.0,90.0,88.0,91.0,92.0,93.0,97.0,99.0,97.0,95.0,83.0,90.0,88.0,89.0,87.0,80.0,84.0,84.0,84.0
UGA,Uganda,52.0,54.0,56.0,57.0,59.0,57.0,55.0,54.0,50.0,55.0,57.0,59.0,62.0,64.0,66.0,68.0,75.0,75.0,70.0,77.0,73.0,75.0,80.0,83.0,85.0,79.0,79.0,83.0,86.0,87.0,89.0,90.0,90.0,90.0,90.0
UKR,Ukraine,,,90.0,94.0,96.0,97.0,92.0,97.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,98.0,97.0,94.0,75.0,56.0,67.0,79.0,79.0,56.0,56.0,42.0,86.0,91.0,93.0,85.0,89.0,74.0,92.0,91.0
URY,Uruguay,97.0,96.0,93.0,90.0,90.0,90.0,89.0,92.0,96.0,99.0,89.0,94.0,95.0,95.0,95.0,95.0,94.0,96.0,95.0,94.0,95.0,95.0,96.0,96.0,96.0,96.0,95.0,96.0,97.0,96.0,95.0,93.0,96.0,96.0,97.0
USA,United States of America,90.0,87.0,83.0,84.0,89.0,88.0,91.0,91.0,92.0,92.0,91.0,91.0,91.0,93.0,93.0,92.0,92.0,92.0,92.0,90.0,92.0,92.0,91.0,92.0,92.0,92.0,92.0,91.0,92.0,90.0,91.0,92.0,92.0,92.0,92.0
