Scottish Vacant and Derelict Land Survey (SVDLS) Site Register 2024,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,
The table is a register of vacant and derelict sites and includes a variety of information about those sites in 2024.,,,,,,,,,,,,, ,
"Total sites on the register number 3,154 and include 93 urban vacant sites in settlements with a population under 2,000.
These 93 sites are not included in the main figures in the SVDLS 2024 statistical publication but are reported separately in Annex Table 2.",,,,,,,,,,,,,,
Go to Background and Notes,,,,,,,,,,,,,,
Go to Variables in Register,,,,,,,,,,,,,,
Go to Contact Details,,,,,,,,,,,,,,
Planning Authority ,Site Code,Site Name (If Supplied),Address (If Supplied),East,North,Site Size (Hectares),Site Type,Location of Site,Owner 1,Owner 2,Period when site became Vacant or Derelict,Previous Use of Site,Development Potential,Datazone
Angus,AN/F/12/B,PLOT 12.02,ORCHARDBANK BUSINESS PARK FORFAR,343702,749861,4.37,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2001-2004,Agriculture,Developable - Short Term,S01007244
Angus,AN/F/12/C,PLOT 12.03,ORCHARDBANK BUSINESS PARK FORFAR,343849,749698,0.9,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2001-2004,Agriculture,Developable - Short Term,S01007264
Angus,AN/F/12/D,PLOT 12.04,ORCHARDBANK BUSINESS PARK FORFAR,343740,749620,0.42,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2001-2004,Agriculture,Developable - Short Term,S01007264
Angus,AN/F/16,SOUTH STREET MILL,SOUTH STREET FORFAR,346245,750644,0.8,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Undetermined,S01007256
Angus,AN/F/17,FORMER SWIMMING POOL,THE VENNEL FORFAR,345636,750543,0.1,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2017,Recreation & Leisure,Developable - Medium Term,S01007258
Angus,AN/F/18,FORMER FUEL STORAGE DEPOT,FYFE STREET FORFAR,346195,751362,0.21,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2018,Manufacturing,Unknown (uncertain/insufficient information),S01007252
Angus,AN/F/20,FORMER WELLBRAES SCHOOL,WELLBRAES FORFAR,345861,750924,0.26,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2016,Education,Unknown (uncertain/insufficient information),S01007257
Angus,AN/F/21,THE PAVILLION,QUEEN STREET FORFAR,345687,750704,0.19,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2009,Recreation & Leisure,Unknown (uncertain/insufficient information),S01007257
Angus,AN/F/21,ORCHARDBANK HOUSE,ORCHARDBANK BUSINESS PARK FORFAR,344042,750128,0.1,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2010,Residential - Housing,Unknown (uncertain/insufficient information),S01007264
Angus,AN/F/22,QUARRYBANK,DUNDEE ROAD FORFAR,345192,749287,0.15,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Unknown (uncertain/insufficient information),S01007261
Angus,AN/K/5,GAIRIE WORKS,BELLIES BRAE KIRRIEMUIR,338615,753790,1.31,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Undetermined,S01007274
Angus,AN/M/17,WALDRON ROAD,MONTROSE,371712,759361,0.69,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Medium Term,S01007219
Angus,AN/M/18,MONTROSE AIRFIELD,MONTROSE,372534,760028,51.9,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other National/Local Government,Other Private,Unknown,Defence,Developable - Short Term,S01007222
Angus,AN/M/19,MONTROSE GOODS YARD,MONTROSE,371242,757890,0.56,Vacant Land,"Site in settlement with population equal to or over 2,000",Network Rail/ Rail Franchise Holder,Not applicable  (i.e. only one owner),Unknown,Transport,Developable - Medium Term,S01007215
Angus,AN/M/20,CHAPEL WORKS,EASTERN ROAD MONTROSE,371794,757715,0.17,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Short Term,S01007211
Angus,AN/M/21,FORMER MONTROSE INFIRMARY,BASIN VIEW MONTROSE,371037,757444,0.47,Derelict,"Site in settlement with population equal to or over 2,000",Health Boards,Not applicable  (i.e. only one owner),2016,Community & Health,Developable - Undetermined,S01007208
Angus,AN/M/22,PLOT 25.01,FORTIES ROAD INDUSTRIAL ESTATE MONTROSE,371647,760444,0.18,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Prepared Ground,Developable - Medium Term,S01007222
Angus,AN/M/23,PLOT 13.11,FORTIES ROAD INDUSTRIAL ESTATE MONTROSE,371580,760481,0.53,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Prepared Ground,Developable - Medium Term,S01007222
Angus,AN/M/24,PLOT 20,FORTIES ROAD INDUSTRIAL ESTATE MONTROSE,371787,760526,0.95,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2016,Prepared Ground,Developable - Medium Term,S01007222
Angus,AN/M/25,FORMER CUSTOM HOUSE,CALEDONIA STREET MONTROSE,371635,757239,0.43,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Private Port Company,Not applicable  (i.e. only one owner),1980 or earlier,Business Class,Developable - Short Term,S01007210
Angus,AN/M/26,FORMER VISTORIA WORKS,NORTH ESK ROAD MONTROSE,371656,759294,0.48,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Unknown (uncertain/insufficient information),S01007219
Angus,AN/R/03,STATION AND,GOODS YARD INVERKEILLOR,366650,749057,1.6,Derelict,Site in countryside,Network Rail/ Rail Franchise Holder,Not applicable  (i.e. only one owner),1986-1990,Transport,Developable - Undetermined,S01007204
Angus,AN/R/06/A,RAILWAY LINES,DISUSED/RURAL ANGUS,354989,750460,165.13,Derelict,Site in countryside,Network Rail/ Rail Franchise Holder,Not applicable  (i.e. only one owner),1980 or earlier,Transport,Developable - Undetermined,S01007241
Angus,AN/R/13,PANMURE ROAD,MONIKIE,350018,738730,0.5,Derelict,Site in countryside,Ownership unknown,Not applicable  (i.e. only one owner),1980 or earlier,Transport,Developable - Medium Term,S01007140
Angus,AN/R/14,AIRFIELD RUNWAYS,KINNELL FRIOCKHEIM,361151,751072,3.13,Derelict,Site in countryside,Ownership unknown,Not applicable  (i.e. only one owner),1980 or earlier,Defence,Uneconomic to Develop/Soft End Use,S01007226
Angus,AN/R/33,STRATHMARTINE HOSPITAL,STRATHMARTINE,338581,735180,17.5,Derelict,Site in countryside,Health Boards,Not applicable  (i.e. only one owner),2007,Community & Health,Developable - Short Term,S01007133
Angus,AN/R/38,FORMER PETROL FILLING STATION,STRACATHRO SERVICES BRECHIN,362497,764704,0.52,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),Unknown,Transport,Developable - Short Term,S01007225
Angus,AN/R/39,NORANSIDE FORMER PRISON,TANNADICE,347323,761227,7.35,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2013,Community & Health,Developable - Short Term,S01007281
Angus,AN/R/41,BALDOVAN HOUSE,STRATHMARTINE,339447,734863,4.33,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Residential - Housing,Developable - Undetermined,S01007133
Angus,AN/R/43,BALMUIRFIELD,STRATHMARTINE,339766,734179,3.25,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Agriculture,Developable - Undetermined,S01007134
Angus,AN/R/45,FORMER SAWMILL,WHIGSTREET FORFAR,348216,744096,0.31,Derelict,"Site in settlement with population under 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Forestry/Woodland,Unknown (uncertain/insufficient information),S01007240
Angus,AN/R/46,KIRKTON FARM STEADING,ABERLEMNO,352187,755543,0.43,Vacant Land and Buildings,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Unknown (uncertain/insufficient information),S01007228
Angus,AN/R/47,FORMER MUIRHEAD RESERVOIR,COLLISTON,360711,744337,3.53,Derelict,Site in countryside,Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Utility Services,Unknown (uncertain/insufficient information),S01007172
Angus,AN/R/48,TRAVEBANK,CARNOUSTIE,352876,735736,2.43,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),2012,Residential - Housing,Unknown (uncertain/insufficient information),S01007144
Angus,AN/R/49,RAILWAY FIELD,INVERKEILOR,366567,749151,1.93,Derelict,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),2022,Transport,Developable - Short Term,S01007204
Angus,AN/R/50,FORMER RESERVOIR,HILLSIDE MONTROSE,370533,762010,0.83,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),1991-1995,Community & Health,Developable - Short Term,S01007225
Angus,AN/R/51,LAND AT SALMON'S LEAP,KIRKTON OF KINGOLDRUM,333500,755036,0.13,Derelict,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Unknown (uncertain/insufficient information),S01007270
Angus,AN/R/52,DERELICT COTTAGE,ROSSIE,365728,753447,0.14,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),1980 or earlier,Residential - Housing,Unknown (uncertain/insufficient information),S01007204
Angus,AN/R/53,SHEPHERD'S COTTAGE,WESTER DENOON,334713,742488,0.14,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Residential - Housing,Unknown (uncertain/insufficient information),S01007267
Angus,AN/R/54,FARM COTTAGES,WESTER DENOON,334814,743577,0.17,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Residential - Housing,Unknown (uncertain/insufficient information),S01007267
Angus,AN/R/55,LAND AT DALGETY FARM,BRECHIN,360983,759252,0.19,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),1981-1985,Agriculture,Developable - Medium Term,S01007229
Angus,AN/R/56,KNOCKSIDE COTTAGE,BRIDGEND OF LINTRATHEN,325402,754328,0.21,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Residential - Housing,Unknown (uncertain/insufficient information),S01007279
Angus,AN/R/57,SOUTH BALLUDERON STEADING,STRATHMARTINE,337561,738073,0.25,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),1980 or earlier,Agriculture,Unknown (uncertain/insufficient information),S01007133
Angus,AN/R/58,FORMER DAIRY STEADING,DICKMONTLAW FARM ARBROATH,365032,743682,0.47,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Developable - Medium Term,S01007172
Angus,AN/R/59,ROCHELHILL,GLAMIS,337408,745046,0.36,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Unknown (uncertain/insufficient information),S01007247
Angus,AN/R/60,BENVIE FARM,FOWLIS,332685,731509,0.4,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Unknown (uncertain/insufficient information),S01007129
Angus,AN/R/61,BALBINNIE,BY MUIRDRUM,356519,739372,0.47,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Residential - Housing,Unknown (uncertain/insufficient information),S01007171
Angus,AN/R/62,LUNAN BANK FARM,BY INVERKEILOR,364606,748266,0.49,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Residential - Housing,Developable - Medium Term,S01007226
Angus,AN/R/63,BELLATLY FARMHOUSE STEADING,GLENISLA,323812,759214,0.19,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Unknown (uncertain/insufficient information),S01007279
Angus,AN/R/64,OLD CORN MILL HOLEMILL,WHIGSTREET,348211,743681,0.21,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Unknown (uncertain/insufficient information),S01007240
Angus,H/AN/A/03,ELLIOT MILL,ARBROATH,361877,739472,1.25,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Manufacturing,Developable - Medium Term,S01007171
Angus,H/AN/A/25,"THE ELMS, ELM PARK",CAIRNIE ROAD ARBROATH,363208,741732,0.78,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Residential - Housing,Developable - Short Term,S01007183
Angus,H/AN/B/01,FORMER GAS WORKS,WITCHDEN ROAD BRECHIN,360119,759859,0.5,Derelict,"Site in settlement with population equal to or over 2,000",Private Gas,Not applicable  (i.e. only one owner),1980 or earlier,Manufacturing,Developable - Medium Term,S01007232
Angus,H/AN/B/02,SCOTT STREET GOODS YARD,BRECHIN RAILWAY BRECHIN,360473,760047,2.45,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Transport,Developable - Medium Term,S01007233
Angus,H/AN/C/9,GREENLAW FARM,GREENLAW HILL CARNOUSTIE,354174,734670,1.5,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Agriculture,Developable - Medium Term,S01007144
Angus,I/AN/A/10/A,PLOT 26.02,BADEN POWELL ROAD KIRKTON INDUSTRIAL ESTATE ARBROATH,362849,742473,0.54,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),1991-1995,Agriculture,Developable - Short Term,S01007174
Angus,I/AN/A/13/A,PLOT 32.01,JAMES CHALMERS ROAD KIRKTON INDUSTRIAL ESTATE ARBROATH,362397,742229,1.86,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1991-1995,Agriculture,Developable - Short Term,S01007174
Angus,I/AN/A/14,PLOT 33.02,SIR WILLIAM SMITH ROAD KIRKTON INDUSTRIAL ESTATE ARBROATH,362736,742139,0.37,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),1991-1995,Agriculture,Developable - Short Term,S01007174
Angus,I/AN/A/16,PLOT 37,JAMES CHALMERS ROAD KIRKTON INDUSTRIAL ESTATE ARBROATH,362676,742065,0.94,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),1991-1995,Agriculture,Developable - Short Term,S01007174
Angus,I/AN/A/18,PLOT 25,SIR WILLIAM SMITH ROAD KIRKTON INDUSTRIAL ESTATE ARBROATH,362775,742361,0.74,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1991-1995,Agriculture,Developable - Short Term,S01007174
Angus,I/AN/C/06/A,PANDA LANE,PANMURE INDUSTRIAL ESTATE CARNOUSTIE,355437,734257,0.11,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1986-1990,Unknown,Developable - Medium Term,S01007159
Angus,I/AN/C/12,PLOT 14,PANMURE INDUSTRIAL ESTATE CARNOUSTIE,355293,734138,0.22,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2008,Other,Unknown (uncertain/insufficient information),S01007159
Angus,I/AN/C/13,FORMER KINLOCH PRIMARY SCHOOL,DUNDEE STREET CARNOUSTIE,355873,734495,0.34,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2011,Education,Developable - Short Term,S01007162
Angus,I/AN/K/4,EAST MUIRHEAD OF LOGIE,KIRRIEMUIR,338892,753174,0.84,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2013,Agriculture,Developable - Short Term,S01007269
Angus,I/AN/M/10,PLOT 18,BROOMFIELD INDUSTRIAL ESTATE MONTROSE,371875,759383,0.42,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Defence,Developable - Medium Term,S01007219
Angus,I/AN/R/37,SUNNYSIDE HOSPITAL,HILLSIDE MONTROSE,370921,761728,25.44,Vacant Land and Buildings,"Site in settlement with population under 2,000",Health Boards,Not applicable  (i.e. only one owner),2014,Community & Health,Developable - Short Term,S01007223
Argyll and Bute,119,5,CRAIGENDORAN STREET HELENSBURGH ARGYLL & BUTE,230870,681299,0.53,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Unknown Private,1980 or earlier,Transport,Developable - Undetermined,S01007402
Argyll and Bute,180,8,LONGROW CAMPBELTOWN ARGYLL & BUTE,171677,620671,0.28,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Unknown Private,1986-1990,Manufacturing,Developable - Undetermined,S01007336
Argyll and Bute,2005/1,47,LOW ASKOMIL CAMPBELTOWN ARGYLL & BUTE,173506,620445,2.03,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Unknown Private,Unknown,Unknown,Developable - Undetermined,S01007333
Argyll and Bute,2005/6,46,MILKNOWE ROAD CAMPBELTOWN ARGYLL & BUTE,171650,620834,0.14,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Unknown Private,Unknown,Unknown,Developable - Undetermined,S01007334
Argyll and Bute,2006/19,63,GLENGALLAN RD 9 OBAN ARGYLL & BUTE,184526,727912,1.06,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Medium Term,S01007289
Argyll and Bute,2006/59a,,KILBRIDE ROAD 1A DUNOON ARGYLL & BUTE,216543,676386,0.39,Derelict,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Mineral Activity,Developable - Undetermined,S01007372
Argyll and Bute,2006/59c,,KILBRIDE ROAD 1C DUNOON ARGYLL & BUTE,216383,676284,0.52,Derelict,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Mineral Activity,Developable - Undetermined,S01007353
Argyll and Bute,2006/60,89,KILBRIDE ROAD 2 DUNOON ARGYLL & BUTE,216328,676033,0.55,Derelict,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Mineral Activity,Developable - Undetermined,S01007353
Argyll and Bute,2006/61,90,UPPER LAUDERVALE DUNOON ARGYLL & BUTE,216577,675355,0.67,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Short Term,S01007372
Argyll and Bute,2006/72,95,ACADEMY ROAD ROTHESAY ARGYLL & BUTE,208402,664926,0.16,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Medium Term,S01007344
Argyll and Bute,2006/75,97,ST BRIDES ROAD 2 ROTHESAY ARGYLL & BUTE,208202,664590,0.23,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Residential - Housing,Developable - Medium Term,S01007345
Argyll and Bute,2006/8,52,HOSPITAL OBAN ARGYLL & BUTE,185620,728841,0.59,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Medium Term,S01007290
Argyll and Bute,2006/89,105,BENGULLION ROAD CAMPBELTOWN ARGYLL & BUTE,171463,620110,0.11,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Undetermined,S01007337
Argyll and Bute,2006/8b,52,HOSPITAL OBAN ARGYLL & BUTE,185579,728698,0.36,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Medium Term,S01007290
Argyll and Bute,2007/04,109,TARBERT ROAD CAMPBELTOWN ARGYLL & BUTE,171360,621592,0.51,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),2007,Agriculture,Developable - Medium Term,S01007331
Argyll and Bute,2012/1,,WHITEGATES ROAD LOCHGILPHEAD ARGYLL & BUTE,186552,687757,1.04,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2007,Education,Developable - Medium Term,S01007316
Argyll and Bute,2013/1,,ARGYLL STREET DUNOON ARGYLL & BUTE,217240,677391,1.03,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Storage,Developable - Undetermined,S01007355
Argyll and Bute,2013/2,,MEADOWS ROAD ROTHESAY ARGYLL & BUTE,208472,664217,0.66,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Storage,Developable - Short Term,S01007347
Argyll and Bute,2015/1,,"THE ROWANS, UNION STREET LOCHGILPHEAD ARGYLL & BUTE",186438,687934,0.11,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),Unknown,Residential - Housing,Developable - Medium Term,S01007316
Argyll and Bute,2015/3,,ARDYNE TOWARD ARGYLL & BUTE,209861,668565,27.86,Derelict,Site in countryside,Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Undetermined,S01007353
Argyll and Bute,2015/4,,POLPHAIL PORTAVADIE ARGYLL & BUTE,193201,669029,1.3,Vacant Land,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Residential - Housing,Developable - Short Term,S01007351
Argyll and Bute,2015/6,,ST PETER'S SEMINARY CARDROSS ARGYLL & BUTE,235297,678399,0.23,Derelict,Site in countryside,Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Education,Unknown (uncertain/insufficient information),S01007405
Argyll and Bute,2018/1,,"WATSON PLACE, WYNDHAM ROAD, ARDBEG ROTHESAY ARGYLL & BUTE",208317,666835,0.27,Vacant Land,"Site in settlement with population equal to or over 2,000",Housing Association,Not applicable  (i.e. only one owner),2018,Residential - Housing,Developable - Medium Term,S01007341
Argyll and Bute,2021/3,,ABERCROMBY STREET HELENSBURGH ARGYLL & BUTE,229863,683200,0.1,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),2021,Passive Open Space,Developable - Medium Term,S01007387
Argyll and Bute,2023/1,,9-20 CHURCHILL SQUARE HELENSBURGH ARGYLL & BUTE,231156,682759,0.15,Vacant Land,"Site in settlement with population equal to or over 2,000",Defence,Not applicable  (i.e. only one owner),2022,Residential - Housing,Developable - Medium Term,S01007390
Argyll and Bute,2023/2,,HELENSBURGH PIER HELENSBURGH ARGYLL & BUTE,229525,682227,0.4,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Recreation & Leisure,Developable - Short Term,S01007395
Argyll and Bute,2023/3,,3 KILBRIDE ROAD DUNOON ARGYLL & BUTE,216644,675910,0.39,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2022,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01007372
Argyll and Bute,2024/1,,"ROTHESAY ACADEMY, ACADEMY ROAD ROTHESAY ARGYLL & BUTE",208195,664918,1.63,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Education,Developable - Medium Term,S01007343
Argyll and Bute,209,11,SNIPEFIELD CAMPBELTOWN ARGYLL & BUTE,171393,621395,0.23,Vacant Land,"Site in settlement with population equal to or over 2,000",Highlands and Islands Enterprise,Unknown Private,1986-1990,Agriculture,Developable - Undetermined,S01007333
Argyll and Bute,227,12,KYLES HYDRO PORT BANNATYNE ARGYLL & BUTE,207645,667189,4.77,Derelict,"Site in settlement with population under 2,000",Other Private,Other Private,1986-1990,Recreation & Leisure,Developable - Medium Term,S01007343
Argyll and Bute,251,17,TOM A MHOID ROAD DUNOON ARGYLL & BUTE,217382,676382,0.46,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Unknown Private,1991-1995,Recreation & Leisure,Developable - Medium Term,S01007370
Argyll and Bute,40,27,PILOT STREET DUNOON ARGYLL & BUTE,217553,677273,0.61,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Unknown Private,1981-1985,Unknown,Developable - Medium Term,S01007366
Clackmannanshire,ALLOA026,FORTHBANK,ALLOA,288872,691844,1.22,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),1980 or earlier,Manufacturing,Developable - Medium Term,S01007452
Clackmannanshire,ALLOA047,CARSEBRIDGE ROW,ALLOA,289496,693676,0.57,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Unknown,Developable - Short Term,S01007460
Clackmannanshire,ALLOA048,THE SHORE,ALLOA,288433,692020,0.6,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2010,Storage,Developable - Short Term,S01007452
Clackmannanshire,ALLOA049,PATONS BOWLING CLUB,ALLOA TULLIBODY ROAD,287994,693520,1.03,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2013,Recreation & Leisure,Developable - Undetermined,S01007470
Clackmannanshire,ALLOA052,FORTHBANK YARD,ALLOA FORTHBANK,288740,691891,0.33,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2015,Unknown,Developable - Short Term,S01007452
Clackmannanshire,ALLOA054,INDUSTRIAL YARD,ALLOA KELLIEBANK,287398,692508,0.72,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2016,Transport,Developable - Medium Term,S01007480
Clackmannanshire,ALLOA055,GREENFIELD HOUSE,ALLOA GREENSIDE STREET,288538,693294,0.78,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2016,Offices,Developable - Medium Term,S01007467
Clackmannanshire,ALLOA057,FORMER LEISURE BOWL SITE,ALLOA PARKWAY,288562,693120,1.15,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2021,Recreation & Leisure,Developable - Short Term,S01007467
Clackmannanshire,ALVA006,BROOK STREET/BEAUCLERC STREET,ALVA BROOK STREET,288328,697383,0.53,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1986-1990,Unknown,Developable - Short Term,S01007426
Clackmannanshire,CLACK001,ALLOA ROAD,CLACKMANNAN ALLOA ROAD,291507,691961,0.18,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Nationalised Industry or Statutory undertakers,Not applicable  (i.e. only one owner),2014,Transport,Developable - Undetermined,S01007448
Clackmannanshire,CLACK003,FORMER BUS GARAGE,CLACKMANNAN LOCHIES ROAD,291318,691632,0.19,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2017,Transport,Developable - Short Term,S01007450
