Scottish Vacant and Derelict Land Survey (SVDLS) Site Register 2024,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,
The table is a register of vacant and derelict sites and includes a variety of information about those sites in 2024.,,,,,,,,,,,,, ,
"Total sites on the register number 3,154 and include 93 urban vacant sites in settlements with a population under 2,000.
These 93 sites are not included in the main figures in the SVDLS 2024 statistical publication but are reported separately in Annex Table 2.",,,,,,,,,,,,,,
Go to Background and Notes,,,,,,,,,,,,,,
Go to Variables in Register,,,,,,,,,,,,,,
Go to Contact Details,,,,,,,,,,,,,,
Planning Authority ,Site Code,Site Name (If Supplied),Address (If Supplied),East,North,Site Size (Hectares),Site Type,Location of Site,Owner 1,Owner 2,Period when site became Vacant or Derelict,Previous Use of Site,Development Potential,Datazone
Aberdeen City,2012-7,FORMER VICTORIA ROAD PRIMARY SCHOOL,VICTORIA ROAD TORRY ABERDEEN,395460,805170,0.71,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2011,Education,Developable - Medium Term,S01006631
Aberdeen City,2014-1,FREDERICK STREET EAST,FREDERICK STREET ABERDEEN,394580,806570,0.1,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Medium Term,S01006639
Aberdeen City,2015-2,GRANITEHILL ROAD,NORTHFIELD ABERDEEN,390540,808460,1.28,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2015,Manufacturing,Developable - Medium Term,S01006724
Aberdeen City,2016-3,FORMER TORRY NURSERY,OSCAR ROAD ABERDEEN,394690,804800,0.53,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),Unknown,Education,Developable - Medium Term,S01006625
Aberdeen City,2016-5,FORMER CARDEN SCHOOL,GORDON TERRACE DYCE ABERDEEN,389030,812760,0.37,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),Unknown,Education,Developable - Undetermined,S01006753
Aberdeen City,2016-6,ABERDEEN COLLEGE GORDON CENTRE,CORUNNA ROAD ABERDEEN,394860,809860,2.21,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Education,Unknown (uncertain/insufficient information),S01006782
Aberdeen City,2017-1,FORMER FINTRY HOUSE,PITMEDDEN ROAD/LAWSON DRIVE DYCE ABERDEEN,388560,813250,1.15,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2017,Offices,Developable - Medium Term,S01006755
Aberdeen City,2017-2,FORMER BUCKSBURN PRIMARY SCHOOL,INVERURIE ROAD/HOWES ROAD BUCKSBURN ABERDEEN,389690,809500,1,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2016,Education,Developable - Medium Term,S01006738
Aberdeen City,2017-5,FORMER WOODLANDS SCHOOL,REGENT WALK ABERDEEN,394470,808150,0.73,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2017,Education,Developable - Medium Term,S01006667
Aberdeen City,2018-2,FORMER STONEYWOOD SCHOOL,PROSPECT TERRACE STONEYWOOD ABERDEEN,389180,810960,0.77,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2018,Education,Developable - Medium Term,S01006743
Aberdeen City,2019-1,LAND AT NEWTON TERRACE/CAIRNFIELD PLACE,BUCKSBURN ABERDEEN,390000,809460,0.98,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Mineral Activity,Developable - Medium Term,S01006738
Aberdeen City,2019-10,WOODEND FARM,CULTER HOUSE ROAD PETERCULTER ABERDEEN,383710,801900,0.86,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Residential - Housing,Developable - Medium Term,S01006512
Aberdeen City,2019-3,HAUDAGAIN TRIANGLE,LOGIE AVENUE ABERDEEN,391230,809040,2.91,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2018,Residential - Housing,Developable - Short Term,S01006726
Aberdeen City,2019-4,FORMER SILVERBURN HOUSE,CLAYMORE DRIVE BOD ABERDEEN,394820,810830,3.95,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2019,Business Class,Developable - Medium Term,S01006788
Aberdeen City,2019-5,ST MARGARET OF SCOTLAND CHAPEL WITH FORMER CONVENT,11/11A SPITAL ABERDEEN,394060,807390,0.11,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2012,Community & Health,Developable - Undetermined,S01006658
Aberdeen City,2019-6,FORMER MATALAN,119 CONSTITUTION STREET ABERDEEN,394840,806870,0.66,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2019,Retailing,Developable - Short Term,S01006637
Aberdeen City,2019-9,ABERDEEN ONE LOGISTICS PARK,CRAWPEEL ROAD ABERDEEN,394820,802300,2.56,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Medium Term,S01006623
Aberdeen City,2021-10,FORMER MULLER WISEMAN DAIRIES,CRAIGSHAW DRIVE ABERDEEN,394470,803330,1.8,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2021,Manufacturing,Developable - Medium Term,S01006623
Aberdeen City,2021-11,FORMER BRAESIDE SCHOOL,BRAESIDE PLACE ABERDEEN,391130,804160,1.04,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2021,Education,Developable - Short Term,S01006537
Aberdeen City,2021-14,FORMER GREYFRIARS HOUSE,GALLOWGATE ABERDEEN,394200,806630,0.37,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2021,Offices,Developable - Short Term,S01006647
Aberdeen City,2021-15,FORMER OFFICE COMPLEX WELLHEADS PLACE,WELLHEADS PLACE DYCE ABERDEEN,388730,811700,1.65,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2021,Offices,Developable - Medium Term,S01006748
Aberdeen City,2021-16,FORMER SCHLUMBERGER PRODUCT CENTRE,WOODLANDS DRIVE ABERDEEN,387210,812690,0.64,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2021,Other,Developable - Medium Term,S01006748
Aberdeen City,2021-17,FORMER TYSEAL BASE,CRAIGSHAW CRESCENT ABERDEEN,394450,803590,2.09,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2021,Other General Industry,Developable - Medium Term,S01006623
Aberdeen City,2021-18,SITE ADJACENT TO HILL OF TRAMAUD,MUNDURNO BRIDGE ABERDEEN,394720,813320,4.7,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Community & Health,Unknown (uncertain/insufficient information),S01006788
Aberdeen City,2021-19,LAND AT ANNAN HOUSE,POYNERNOOK ROAD ABERDEEN,394410,805620,0.37,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Medium Term,S01006587
Aberdeen City,2021-2,SILVERBURN PARK,EXHIBITION AVENUE BOD ABERDEEN,395010,810560,17.6,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2020,Recreation & Leisure,Developable - Medium Term,S01006782
Aberdeen City,2021-20,FORMER CORDYCE RESIDENTIAL SCHOOL,RIVERVIEW DRIVE DYCE ABERDEEN,389110,813770,8.24,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2017,Education,Developable - Short Term,S01006750
Aberdeen City,2021-21,HEATH FARM,WHITESTRIPES ROAD DYCE ABERDEEN,390570,812630,2.1,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),Unknown,Agriculture,Developable - Medium Term,S01006762
Aberdeen City,2021-22,HILTON OUTDOOR SPORTS CENTRE,HILTON DRIVE HILTON ABERDEEN,392070,808640,1.02,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2019,Recreation & Leisure,Developable - Medium Term,S01006687
Aberdeen City,2021-23,MAINS OF DYCE STEADING,OLDMELDRUM ROAD DYCE ABERDEEN,388890,813810,0.74,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),Unknown,Agriculture,Developable - Medium Term,S01006755
Aberdeen City,2021-24,FORMER FACTORY GRANITEHILL,GRANITEHILL ROAD NORTHFIELD ABERDEEN,390670,808520,1.25,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Medium Term,S01006724
Aberdeen City,2021-25,LAND AT 4-38 CANAL ROAD,4-38 CANAL ROAD ABERDEEN,393850,807270,0.55,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2021,Other General Industry,Developable - Short Term,S01006651
Aberdeen City,2021-3,FORMER CHALMERS BAKERY,13-15 AUCHMILL ROAD BUCKSBURN ABERDEEN,389890,809630,0.13,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2021,Manufacturing,Developable - Short Term,S01006738
Aberdeen City,2021-4,LAND AT FARBURN TERRACE,FARBURN TERRACE DYCE ABERDEEN,388590,812350,0.6,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Medium Term,S01006748
Aberdeen City,2021-5,FORMER OCEANEERING HOUSE AND DAVIDSON HOUSE,PITMEDDEN ROAD DYCE ABERDEEN,388400,813460,0.98,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2021,Offices,Developable - Medium Term,S01006755
Aberdeen City,2021-6,FORMER TRAFALGAR HOUSE,HARENESS ROAD ALTENS ABERDEEN,395160,802880,2.3,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2021,Offices,Developable - Short Term,S01006623
Aberdeen City,2021-7,FORMER LAURIES MOTEL SITE,HARENESS ROAD ALTENS ABERDEEN,394770,802870,0.73,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,"Residential - Hotels, Hostels etc",Developable - Undetermined,S01006623
Aberdeen City,2021-9,LOIRSTON HOUSE,102 WELLINGTON ROAD NIGG ABERDEEN,394840,802860,0.48,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2021,Offices,Developable - Medium Term,S01006623
Aberdeen City,2023-1,BAKER HUGHES,WOODSIDE ROAD BOD ABERDEEN,394650,810910,2.93,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2022,Manufacturing,Developable - Medium Term,S01006782
Aberdeen City,2023-10,VACANT SITE (FORMERLY MORGAN FUELS),5 SOUTH ESPLANADE WEST TORRY ABERDEEN,394520,805260,0.61,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2022,Retailing,Unknown (uncertain/insufficient information),S01006627
Aberdeen City,2023-11,FORMER KIRKHILL BUSINESS PARK,HOWE MOSS DRIVE/HOWE MOSS ROAD DYCE ABERDEEN,387030,812640,1.78,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2022,Offices,Developable - Medium Term,S01006748
Aberdeen City,2023-12,FORMER HYDRASUN BUILDING,PITTODRIE LANE ABERDEEN,394400,807470,0.44,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2017,Business Class,Unknown (uncertain/insufficient information),S01006670
Aberdeen City,2023-2,UNITS 1-4 WOOD INTERNATIONAL CENTRE,CRAIGSHAW DRIVE ALTENS ABERDEEN,394330,803530,0.36,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2022,Offices,Developable - Medium Term,S01006623
Aberdeen City,2023-3,CRAIGIEVAR HOUSE,HOWE MOSS TERRACE DYCE ABERDEEN,386740,813360,1.93,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2022,Offices,Developable - Medium Term,S01006748
Aberdeen City,2023-4,FORMER NIGG CARAVAN PARK,ALTENS FARM ROAD ALTENS ABERDEEN,394900,803080,1.52,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2014,Recreation & Leisure,Unknown (uncertain/insufficient information),S01006623
Aberdeen City,2023-5,FORMER BROADHILL BAR,30 GOLF ROAD LINKSFIELD ABERDEEN,394920,807570,0.19,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2022,Other,Developable - Medium Term,S01006670
Aberdeen City,2023-6,CITYPARK,2 ALTENS FARM ROAD ALTENS ABERDEEN,394880,802940,0.65,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2022,Offices,Developable - Medium Term,S01006623
Aberdeen City,2023-7,FORMER MILLTIMBER PRIMARY SCHOOL,MONEARN GARDENS MILLTIMBER ABERDEEN,386240,801810,1.44,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Education,Unknown (uncertain/insufficient information),S01006516
Aberdeen City,2023-8,PETROFAC TRAINING,BLACKNESS AVENUE ALTENS ABERDEEN,395650,802190,0.85,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2022,Business Class,Developable - Medium Term,S01006619
Aberdeen City,2023-9,FORMER OIL STATES,BLACKNESS ROAD ALTENS ABERDEEN,395680,802510,1.71,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2022,Manufacturing,Developable - Medium Term,S01006623
Aberdeen City,2024-1,FORMER BT SITE,FROGHALL TERRACE ABERDEEN,393942,807517,1.71,Vacant Land,"Site in settlement with population equal to or over 2,000",Private Telecommunications,Not applicable  (i.e. only one owner),2019,Utility Services,Developable - Medium Term,S01006664
Aberdeen City,2024-2,PETERSEAT DRIVE 1,PETERSEAT DRIVE ALTENS ABERDEEN,395672,803445,7.3,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Unknown,Unknown (uncertain/insufficient information),S01006623
