Datazone,DZname,LAname,Income_Domain,Employment_Domain,Education_Domain,Health_Domain,Crime_Domain
S01009889,Govanhill West - 03,Glasgow City,442.0,1276.0,1215,1713,377.0
S01009890,Govanhill West - 04,Glasgow City,1205.0,947.0,1218,1649,717.0
S01009891,Govanhill West - 05,Glasgow City,1765.5,2112.0,2456,2244,800.0
S01009892,Govanhill West - 06,Glasgow City,336.0,402.0,1296,429,840.0
S01009893,Govanhill West - 07,Glasgow City,2148.0,2118.0,797,2391,397.0
S01009894,Govanhill East and Aikenhead - 01,Glasgow City,344.0,392.0,657,770,1396.0
S01009895,Govanhill East and Aikenhead - 02,Glasgow City,327.0,281.0,181,347,768.0
S01009896,Govanhill East and Aikenhead - 03,Glasgow City,603.0,495.0,834,556,2001.0
S01009897,Govanhill East and Aikenhead - 04,Glasgow City,1767.0,2276.0,2370,1826,1284.0
S01009898,Govanhill East and Aikenhead - 05,Glasgow City,594.0,930.0,1186,310,1343.0
S01009899,Battlefield - 01,Glasgow City,2946.0,2426.0,3607,2753,2956.0
S01009900,Battlefield - 02,Glasgow City,4306.0,5073.0,4144,5048,4293.0
S01009901,Battlefield - 03,Glasgow City,5014.0,5522.0,6451,5446,2088.0
S01009902,Battlefield - 04,Glasgow City,1470.5,1242.0,3273,1116,2196.0
S01009903,Battlefield - 05,Glasgow City,2261.0,2970.0,4399,2302,1211.0
S01009904,Battlefield - 06,Glasgow City,3035.0,4329.0,5783,2876,462.0
S01009905,Strathbungo - 01,Glasgow City,1571.0,2920.0,678,3155,176.0
S01009906,Strathbungo - 02,Glasgow City,2550.5,3754.0,902,3935,419.0
S01009907,Strathbungo - 03,Glasgow City,1235.0,1122.0,936,1745,662.0
S01009908,Strathbungo - 04,Glasgow City,3912.0,4119.0,4955,4821,1153.0
S01009909,Strathbungo - 05,Glasgow City,3566.0,2760.0,3788,3816,754.0
S01009910,Strathbungo - 06,Glasgow City,4648.5,4615.5,3088,4746,704.0
S01009911,Strathbungo - 07,Glasgow City,4548.0,5452.0,6595,3764,2866.0
S01009912,Maxwell Park - 01,Glasgow City,3707.0,5092.0,4683,3215,1193.0
S01009913,Maxwell Park - 02,Glasgow City,5459.0,6217.0,4255,5187,1269.0
S01009914,Maxwell Park - 03,Glasgow City,4900.5,5659.0,4810,6139,3607.0
S01009915,Maxwell Park - 04,Glasgow City,4522.0,5500.0,5131,5363,1834.0
S01009916,Maxwell Park - 05,Glasgow City,3976.0,4298.0,4551,4586,4733.0
S01009917,Maxwell Park - 06,Glasgow City,5819.0,6405.0,6448,5855,4388.0
S01009918,Maxwell Park - 07,Glasgow City,5097.0,5002.0,6183,5639,4543.0
S01009919,Shawlands West - 01,Glasgow City,2328.0,2789.0,2596,3010,635.0
S01009920,Shawlands West - 02,Glasgow City,4821.0,5447.0,3836,5067,3556.0
S01009921,Shawlands West - 03,Glasgow City,4457.0,4031.0,2506,4087,1521.0
S01009922,Shawlands West - 04,Glasgow City,5129.0,5375.0,5200,5698,4051.0
S01009923,Shawlands East - 01,Glasgow City,3687.0,4199.0,6223,3664,3561.0
S01009924,Shawlands East - 02,Glasgow City,2815.0,3073.0,3778,3748,1931.0
S01009925,Shawlands East - 03,Glasgow City,4441.5,4599.0,5594,4356,2077.0
S01009926,Shawlands East - 04,Glasgow City,3627.5,4954.0,4309,4669,2856.0
S01009927,Langside - 01,Glasgow City,2797.0,2979.0,4596,3228,3028.0
S01009928,Langside - 02,Glasgow City,5810.0,5955.0,6618,5629,5871.0
S01009929,Langside - 03,Glasgow City,4758.0,6071.0,6131,4619,5003.0
S01009930,Langside - 04,Glasgow City,3521.0,4346.0,5840,4783,2595.0
S01009931,Langside - 05,Glasgow City,5797.0,6140.5,5942,6555,3812.0
S01009932,Langside - 06,Glasgow City,3484.0,4193.0,5706,3885,3791.0
S01009933,Pollokshaws - 01,Glasgow City,525.0,457.0,3147,939,1116.0
S01009934,Pollokshaws - 02,Glasgow City,4331.0,4456.0,5572,5243,1830.0
S01009935,Pollokshaws - 03,Glasgow City,129.0,74.0,484,94,1028.0
S01009936,Pollokshaws - 04,Glasgow City,593.0,404.0,3527,507,1488.0
S01009937,Pollokshaws - 05,Glasgow City,1948.0,2882.0,1378,2852,214.0
S01009938,Pollokshaws - 06,Glasgow City,752.0,377.0,2202,496,1128.0
S01009939,Carnwadric West - 01,Glasgow City,103.0,52.0,27,792,487.0
S01009940,Carnwadric West - 02,Glasgow City,82.0,67.5,121,148,625.0
S01009941,Carnwadric West - 03,Glasgow City,2559.0,3905.0,3261,4303,5769.0
S01009942,Carnwadric West - 04,Glasgow City,491.0,433.0,789,542,1131.0
S01009943,Carnwadric West - 05,Glasgow City,126.0,209.0,568,106,260.0
S01009944,Carnwadric East - 01,Glasgow City,1765.5,2073.0,2647,1628,1886.0
S01009945,Carnwadric East - 02,Glasgow City,406.0,675.0,1912,1173,1588.0
S01009946,Carnwadric East - 03,Glasgow City,1625.0,2433.0,2132,2155,2668.0
S01009947,Carnwadric East - 04,Glasgow City,1832.0,1847.0,2549,1846,5045.0
S01009948,Newlands - 01,Glasgow City,313.0,161.0,2103,604,2290.0
S01009949,Newlands - 02,Glasgow City,1804.0,2806.0,3417,2200,3540.0
S01009950,Newlands - 03,Glasgow City,6081.0,6250.0,6589,6339,6301.0
S01009951,Newlands - 04,Glasgow City,6369.0,6560.0,6387,6651,3718.0
S01009952,Newlands - 05,Glasgow City,4571.0,4573.5,6646,4880,4585.0
S01009953,Newlands - 06,Glasgow City,4009.0,4618.0,4859,5669,2484.0
S01009954,Newlands - 07,Glasgow City,2033.0,3847.0,5162,3969,598.0
S01009955,Merrylee and Millbrae - 01,Glasgow City,2309.0,2868.0,4170,2434,1779.0
S01009956,Merrylee and Millbrae - 02,Glasgow City,2094.5,2676.0,3771,3040,4189.0
S01009957,Merrylee and Millbrae - 03,Glasgow City,6013.0,5972.5,6853,6316,2452.0
S01009958,Merrylee and Millbrae - 04,Glasgow City,6116.0,6180.0,6035,5712,6033.0
S01009959,Muirend and Old Cathcart - 01,Glasgow City,5755.5,6166.0,6257,5374,5916.0
S01009960,Muirend and Old Cathcart - 02,Glasgow City,4089.0,5078.0,6738,4243,6214.0
S01009961,Muirend and Old Cathcart - 03,Glasgow City,4074.0,4130.0,5021,3701,1373.0
S01009962,Muirend and Old Cathcart - 04,Glasgow City,3167.5,3111.0,5174,3495,5235.0
S01009963,Muirend and Old Cathcart - 05,Glasgow City,6026.0,4925.0,6528,5097,5768.0
S01009964,Muirend and Old Cathcart - 06,Glasgow City,4598.0,4686.0,5795,4635,4415.0
S01009965,Carmunnock North - 01,Glasgow City,5011.0,4035.0,5874,3851,3983.5
S01009966,Carmunnock North - 02,Glasgow City,6257.0,4941.0,5620,5047,5508.0
S01009967,Carmunnock North - 03,Glasgow City,4870.0,5366.0,6773,5732,3069.0
S01009968,Carmunnock North - 04,Glasgow City,4029.5,3360.0,4653,3647,4006.0
S01009969,Carmunnock South - 01,Glasgow City,5926.0,6178.5,5892,5649,5119.0
S01009970,Carmunnock South - 02,Glasgow City,187.0,356.0,533,473,2202.0
S01009971,Carmunnock South - 03,Glasgow City,494.0,394.0,702,451,1477.0
S01009972,Carmunnock South - 04,Glasgow City,1699.5,2477.0,3661,2057,702.0
S01009973,Glenwood South - 01,Glasgow City,2591.5,3027.0,2756,2906,4856.5
S01009974,Glenwood South - 02,Glasgow City,161.0,365.0,456,364,1879.0
S01009975,Glenwood South - 03,Glasgow City,16.0,28.0,126,17,461.0
S01009976,Glenwood South - 04,Glasgow City,29.0,51.0,112,36,5403.0
S01009977,Glenwood South - 05,Glasgow City,28.0,14.0,274,39,829.0
S01009978,Glenwood South - 06,Glasgow City,143.0,319.0,128,117,1968.0
S01009979,Glenwood South - 07,Glasgow City,172.0,53.0,61,883,1468.0
S01009980,Glenwood North - 01,Glasgow City,35.0,94.0,538,7,256.0
S01009981,Glenwood North - 02,Glasgow City,196.0,289.0,1007,110,2064.0
S01009982,Glenwood North - 03,Glasgow City,779.0,598.0,1147,236,1279.0
S01009983,Glenwood North - 04,Glasgow City,72.0,267.0,111,225,1001.0
S01009984,Glenwood North - 05,Glasgow City,692.0,1558.0,1620,1847,1300.0
S01009985,Glenwood North - 06,Glasgow City,54.0,158.0,361,168,642.0
S01009986,Castlemilk - 01,Glasgow City,47.0,97.0,230,267,921.0
S01009987,Castlemilk - 02,Glasgow City,509.0,853.0,1871,470,2417.0
S01009988,Castlemilk - 03,Glasgow City,135.0,181.0,1025,417,3773.0
S01009989,Castlemilk - 04,Glasgow City,2503.0,1988.0,1226,2006,3413.0
S01009990,Castlemilk - 05,Glasgow City,2782.0,2898.5,3195,3196,4182.0
S01009991,Castlemilk - 06,Glasgow City,2340.0,3138.0,1805,3289,4829.0
S01009992,Castlemilk - 07,Glasgow City,401.0,518.0,1104,513,890.0
S01009993,Kingspark South - 01,Glasgow City,3067.0,4033.0,3340,3843,3632.0
S01009994,Kingspark South - 02,Glasgow City,3564.0,4072.0,3070,3994,4087.0
S01009995,Kingspark South - 03,Glasgow City,3452.0,3727.0,2588,3612,2806.0
S01009996,Kingspark South - 04,Glasgow City,2252.0,3726.0,2272,3069,3411.0
S01009997,Kingspark South - 05,Glasgow City,3203.0,3791.5,2535,3594,3612.0
S01009998,Kingspark South - 06,Glasgow City,4017.5,4356.0,4573,3961,1687.0
S01009999,Kingspark North - 01,Glasgow City,4619.0,5121.0,3823,4840,5014.0
S01010000,Kingspark North - 02,Glasgow City,3568.0,3459.0,3216,2733,3039.0
S01010001,Kingspark North - 03,Glasgow City,2478.0,3489.0,2968,3218,2623.0
S01010002,Kingspark North - 04,Glasgow City,3149.0,3182.0,3809,3043,3918.0
S01010003,Kingspark North - 05,Glasgow City,4473.0,4090.0,4381,3960,4147.5
S01010004,Kingspark North - 06,Glasgow City,4989.0,5149.0,6197,5134,3371.0
S01010005,Cathcart - 01,Glasgow City,2134.0,1662.0,2635,1411,2331.0
S01010006,Cathcart - 02,Glasgow City,2278.0,2362.0,2998,2654,4324.0
S01010007,Cathcart - 03,Glasgow City,4154.0,4659.0,6117,4289,3981.0
S01010008,Cathcart - 04,Glasgow City,3011.0,2391.0,469,1854,3076.0
S01010009,Cathcart - 05,Glasgow City,1955.0,1261.0,3486,2333,1552.0
S01010010,Cathcart - 06,Glasgow City,4083.0,4854.0,6007,4312,2735.0
S01010011,Mount Florida - 01,Glasgow City,956.0,1392.0,3106,759,2199.0
S01010012,Mount Florida - 02,Glasgow City,4053.0,3891.0,3475,4215,4659.0
S01010013,Mount Florida - 03,Glasgow City,1676.0,1789.0,3662,2583,479.0
S01010014,Mount Florida - 04,Glasgow City,2756.0,3210.0,4088,3583,2106.0
S01010015,Mount Florida - 05,Glasgow City,3714.0,3776.0,4014,3913,3160.0
S01010016,Toryglen and Oatlands - 01,Glasgow City,1183.0,1725.0,2595,1261,4078.0
S01010017,Toryglen and Oatlands - 02,Glasgow City,632.0,804.0,1115,965,2828.0
S01010018,Toryglen and Oatlands - 03,Glasgow City,1086.0,1362.0,1920,1391,1650.0
S01010019,Toryglen and Oatlands - 04,Glasgow City,80.0,104.0,299,51,473.0
S01010020,Toryglen and Oatlands - 05,Glasgow City,1360.0,1601.0,2233,1224,3144.0
S01010021,Toryglen and Oatlands - 06,Glasgow City,498.0,1198.0,875,233,31.0
S01010022,Toryglen and Oatlands - 07,Glasgow City,1691.0,2400.0,609,2421,1174.0
S01010023,Gorbals and Hutchesontown - 01,Glasgow City,11.0,40.0,870,41,714.0
S01010024,Gorbals and Hutchesontown - 02,Glasgow City,568.0,541.0,1728,326,674.0
S01010025,Gorbals and Hutchesontown - 03,Glasgow City,346.0,148.0,1674,345,516.0
S01010026,Gorbals and Hutchesontown - 04,Glasgow City,531.0,662.0,1342,695,545.0
S01010027,Gorbals and Hutchesontown - 05,Glasgow City,1544.0,2680.0,2319,1989,2190.0
S01010028,Gorbals and Hutchesontown - 06,Glasgow City,427.0,498.0,1049,268,1890.0
S01010029,Gorbals and Hutchesontown - 07,Glasgow City,182.0,136.0,960,171,2261.0
S01010030,Gorbals and Hutchesontown - 08,Glasgow City,2607.0,3653.0,3418,3693,1252.0
S01010031,Laurieston and Tradeston - 01,Glasgow City,3424.0,2591.0,3019,3634,243.0
S01010032,Laurieston and Tradeston - 02,Glasgow City,2445.0,1319.0,732,405,28.0
S01010033,Laurieston and Tradeston - 03,Glasgow City,704.0,476.0,975,852,142.0
S01010034,Laurieston and Tradeston - 04,Glasgow City,734.0,1121.0,918,526,493.0
S01010035,Laurieston and Tradeston - 05,Glasgow City,4685.5,4508.0,1127,5871,361.5
S01010036,Laurieston and Tradeston - 06,Glasgow City,6769.0,6761.0,5976,6953,5185.0
S01010037,Calton and Gallowgate - 01,Glasgow City,154.0,331.0,134,125,320.0
S01010038,Calton and Gallowgate - 02,Glasgow City,535.0,676.0,1701,385,175.0
S01010039,Calton and Gallowgate - 03,Glasgow City,4498.0,4441.0,3145,4852,480.0
S01010040,Calton and Gallowgate - 04,Glasgow City,3736.0,4082.0,3412,3280,252.0
S01010041,Calton and Gallowgate - 05,Glasgow City,2028.0,1880.0,2726,2085,281.0
S01010042,Bridgeton - 01,Glasgow City,1977.0,2712.0,2131,2627,1466.0
S01010043,Bridgeton - 02,Glasgow City,510.0,422.0,473,354,520.0
S01010044,Bridgeton - 03,Glasgow City,897.0,1384.0,1434,581,2116.0
S01010045,Bridgeton - 04,Glasgow City,86.0,231.0,318,202,2249.0
S01010046,Dalmarnock - 01,Glasgow City,57.0,101.0,345,22,517.0
S01010047,Dalmarnock - 02,Glasgow City,24.0,36.0,77,90,1772.0
S01010048,Dalmarnock - 03,Glasgow City,326.0,566.0,577,368,1915.0
S01010049,Parkhead West and Barrowfield - 01,Glasgow City,231.0,450.0,257,343,1031.0
S01010050,Parkhead West and Barrowfield - 02,Glasgow City,420.0,547.0,147,458,916.0
S01010051,Parkhead West and Barrowfield - 03,Glasgow City,239.0,186.0,420,241,850.0
S01010052,Parkhead West and Barrowfield - 04,Glasgow City,666.0,320.0,224,193,25.0
S01010053,Parkhead West and Barrowfield - 05,Glasgow City,691.0,1669.0,767,710,919.0
S01010054,Parkhead West and Barrowfield - 06,Glasgow City,92.0,115.0,20,20,409.0
S01010055,Parkhead West and Barrowfield - 07,Glasgow City,195.0,69.0,416,10,103.0
S01010056,Parkhead East and Braidfauld North - 01,Glasgow City,120.0,253.0,8,96,332.0
S01010057,Parkhead East and Braidfauld North - 02,Glasgow City,609.0,1602.0,396,1133,770.0
S01010058,Parkhead East and Braidfauld North - 03,Glasgow City,700.0,740.0,259,423,989.0
S01010059,Parkhead East and Braidfauld North - 04,Glasgow City,2054.0,1943.0,1035,1693,319.0
S01010060,Parkhead East and Braidfauld North - 05,Glasgow City,880.0,551.0,899,660,1161.0
S01010061,Braidfauld - 01,Glasgow City,2615.0,2044.0,3155,1258,1286.0
S01010062,Braidfauld - 02,Glasgow City,328.0,1053.0,1200,476,786.0
S01010063,Braidfauld - 03,Glasgow City,277.0,270.0,223,61,777.0
S01010064,Braidfauld - 04,Glasgow City,1436.0,1625.0,2381,1557,2007.0
S01010065,Braidfauld - 05,Glasgow City,445.0,385.0,106,307,1562.0
S01010066,Braidfauld - 06,Glasgow City,366.0,794.0,144,400,1056.0
S01010067,Braidfauld - 07,Glasgow City,116.0,364.0,118,120,1177.0
S01010068,Braidfauld - 08,Glasgow City,2029.0,2620.0,1906,2264,1773.0
S01010069,Shettleston South - 01,Glasgow City,3552.0,3256.0,2824,1923,2598.0
S01010070,Shettleston South - 02,Glasgow City,4799.0,4332.0,3948,3008,6222.0
S01010071,Shettleston South - 03,Glasgow City,2434.0,2539.0,3782,1246,862.0
S01010072,Shettleston South - 04,Glasgow City,2146.0,1924.0,2067,1487,2154.0
S01010073,Shettleston South - 05,Glasgow City,3480.0,3706.0,4069,2267,2911.0
S01010074,Carmyle and Mount Vernon South - 01,Glasgow City,3524.0,4306.0,2782,2558,2131.0
S01010075,Carmyle and Mount Vernon South - 02,Glasgow City,2060.0,2221.0,2242,1040,6258.0
S01010076,Carmyle and Mount Vernon South - 03,Glasgow City,1819.0,1894.0,948,1094,4925.0
S01010077,Carmyle and Mount Vernon South - 04,Glasgow City,849.0,1083.0,906,482,1925.0
S01010078,Mount Vernon North and Sandyhills - 01,Glasgow City,4933.0,4858.0,3681,3778,4483.0
S01010079,Mount Vernon North and Sandyhills - 02,Glasgow City,5989.0,6013.0,5492,4582,5990.0
