,,http://reference.data.gov.uk/id/government-year/1996-1997,http://reference.data.gov.uk/id/government-year/1997-1998,http://reference.data.gov.uk/id/government-year/1998-1999,http://reference.data.gov.uk/id/government-year/1999-2000,http://reference.data.gov.uk/id/government-year/2000-2001,http://reference.data.gov.uk/id/government-year/2001-2002,http://reference.data.gov.uk/id/government-year/2002-2003,http://reference.data.gov.uk/id/government-year/2003-2004,http://reference.data.gov.uk/id/government-year/2004-2005,http://reference.data.gov.uk/id/government-year/2005-2006,http://reference.data.gov.uk/id/government-year/2006-2007,http://reference.data.gov.uk/id/government-year/2007-2008,http://reference.data.gov.uk/id/government-year/2008-2009,http://reference.data.gov.uk/id/government-year/2009-2010,http://reference.data.gov.uk/id/government-year/2010-2011,http://reference.data.gov.uk/id/government-year/2011-2012,http://reference.data.gov.uk/id/government-year/2012-2013,http://reference.data.gov.uk/id/government-year/2013-2014,http://reference.data.gov.uk/id/government-year/2014-2015,http://reference.data.gov.uk/id/government-year/2015-2016,http://reference.data.gov.uk/id/government-year/2016-2017,http://reference.data.gov.uk/id/government-year/2017-2018,http://reference.data.gov.uk/id/government-year/2018-2019,http://reference.data.gov.uk/id/government-year/2019-2020,http://reference.data.gov.uk/id/government-year/2020-2021,http://reference.data.gov.uk/id/government-year/2021-2022,http://reference.data.gov.uk/id/government-year/2022-2023,http://reference.data.gov.uk/id/government-year/2023-2024,http://reference.data.gov.uk/id/government-year/2024-2025
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,9100,9103,9304,8018,7952,8578,8128,8664,9115,8080,7920,7426,7009,6310,6521,6380,4909,4932,4957,4687,4249,4237,4160,4403,4586,3867,4238,4386,4032
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,5164,5441,5436,6332,5758,5968,6150,6371,9235,8356,7583,6381,6689,6140,5382,5363,4912,5320,5409,5030,5542,5381,5438,4863,4448,4489,4453,4670,4953
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,6241,6149,5378,5836,5773,6158,5365,5508,6546,6879,7294,6599,6136,5314,5333,4970,4194,4120,3521,3879,3717,3427,3568,3485,3291,3837,3957,3884,3955
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,1114,807,801,647,702,827,843,987,1205,1438,1435,1302,1126,876,1044,1002,882,677,636,653,498,461,537,558,706,618,820,630,572
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,11664,9913,10545,10633,10963,11876,11674,11327,13252,13108,12059,11749,12790,11351,11060,11480,9441,8682,8362,7894,7673,7348,7477,7844,7981,7010,6852,7732,7598
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,27804,26760,28109,26244,27367,27701,26233,25478,30544,30336,31221,31295,30222,28520,26095,24692,21714,21109,20136,19566,19773,20425,21608,22378,21734,18644,18751,19504,19384
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,442,468,579,443,491,445,516,637,675,726,611,532,692,688,595,579,602,506,422,458,456,434,483,458,416,370,514,521,515
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,10716,9395,9285,8731,8141,8868,9254,8954,9728,9239,9085,8178,8246,7159,6826,6387,6319,6324,6149,6164,5517,5276,5088,5438,5928,5882,5903,6092,6069
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,20108,18050,19413,18225,17655,18186,16139,16598,17396,15368,17082,15000,15753,14275,14171,14108,11159,11117,10704,10321,9401,9799,9879,9637,9948,8830,9146,9499,9667
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,5531,5557,5941,6445,6190,6578,6668,7042,6955,6756,6528,5467,5583,4914,4495,4556,3803,4082,3926,3718,3870,4177,4615,4539,4608,4893,4563,4593,4554
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,843,904,791,649,694,741,801,863,879,1005,976,918,1061,995,852,875,738,554,617,809,539,472,547,628,557,454,637,496,414
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,10021,8571,9175,8033,8144,8850,8340,7768,9254,8528,9020,8642,8327,7086,7542,7013,6424,6240,6179,6022,5197,5664,5954,6034,5501,5182,5418,5607,5167
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,23209,23431,23978,23467,21935,22480,22249,22979,24534,23684,24673,23479,23028,20892,19884,18970,17363,16796,16419,15891,15324,16491,16686,17578,17697,15526,15769,16328,16150
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,5460,5321,6049,6066,5527,5950,6529,6851,7074,7089,7528,6870,6587,6241,6204,6547,5194,4727,5140,5093,4346,4247,4338,4405,4478,4106,3680,4268,3732
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,11738,10816,10281,10369,9439,9687,9913,9875,10918,10611,10794,10509,10215,9220,8746,8593,7245,6218,5910,5783,5451,5129,5549,5656,6502,5312,5180,5936,5832
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,12332,13487,14114,15113,13812,14018,14373,13073,15428,15572,15766,14194,13746,13536,11018,10944,9863,10493,9613,9486,9349,9185,9759,9507,9551,9208,9217,10187,10036
