Planning Authority,Site Name,Address,East,North,Site Size,Site Type,Period when site became Vacant or Derelict,Datazone,lon,lat,Start Year
Glasgow City,PHEONIX PK NURSERY,CIVIC STREET,258779,666484,1.37,Vacant Land,2006,S01010297,-4.258522085452266,55.87076598446712,2006
Glasgow City,,EAST OF 109 DUNBLANE STREET,258941,666338,0.15,Vacant Land,1981-1985,S01010270,-4.255859282638804,55.869502671517665,1981
Glasgow City,,NORTH OF 49 COWLAIRS ROAD,260267,667700,0.47,Derelict,1986-1990,S01010223,-4.235389310646249,55.882117140889946,1986
Glasgow City,,EDGEFAULD ROAD/ ATLAS ROAD/ CAMPSIE ST.,260841,667922,0.54,Vacant Land,1981-1985,S01010212,-4.226335111082726,55.88427648654217,1981
Glasgow City,,SOUTH OF 15 CROFTBANK STREET,260952,667712,0.16,Vacant Land,1986-1990,S01010211,-4.224454149822156,55.88242315806861,1986
Glasgow City,,NORTH OF 327 FORGE STREET,261929,667013,4.56,Derelict,1986-1990,S01010225,-4.2084920004695405,55.87642853742298,1986
Glasgow City,,GARTCRAIG ROAD.,263881,665996,0.26,Vacant Land,1981-1985,S01010174,-4.176805717656665,55.86785314942793,1981
Glasgow City,,SOUTH OF HILLEND ROAD/WEST OF S.R.C. WATER,258235,668894,2.34,Vacant Land,1986-1990,S01010333,-4.268470630408827,55.892242730866634,1986
Glasgow City,,W OF BOGHALL ST,264644,666308,0.93,Vacant Land,1986-1990,S01010177,-4.164778400269591,55.87086938835787,1986
Glasgow City,,1628 CUMBERNAULD ROAD,264415,667546,0.2,Vacant Land,1981-1985,S01010188,-4.169055167568342,55.88192027165101,1981
Glasgow City,,EAST OF 243 POLLOKSHAWS RD,258624,663504,0.67,Derelict,1986-1990,S01010033,-4.259443062296792,55.84396641134285,1986
Glasgow City,,EAST OF 130 CAUSEWAYSIDE ST,264134,662820,0.11,Vacant Land,1986-1990,S01010071,-4.171174573113802,55.839409063979225,1986
Glasgow City,,NORTH OF 60 DORCHESTER AVE,255432,668987,1.19,Derelict,1981-1985,S01010363,-4.3133010965807514,55.892244028713264,1981
Glasgow City,,N OF 10 MANSION STREET,258990,668186,0.16,Vacant Land,1981-1985,S01010326,-4.256039339331886,55.886108154207825,1981
Glasgow City,,EDINGTON STREET.,258776,666683,0.52,Vacant Land,1986-1990,S01010297,-4.2586737459716195,55.87255170300078,1986
Glasgow City,,NORTH OF MOUNTAINBLUE ST,261576,664443,0.48,Vacant Land,1986-1990,S01010245,-4.21281672752286,55.85325333129428,1986
Glasgow City,,DALMARNOCK ROAD/ MORDAUNT STREET/ BALTIC STREET,261354,663273,1.37,Derelict,2010,S01010046,-4.215762061549576,55.84268506982813,2010
Glasgow City,,FIRHILL PARK / FIRHILL ROAD,258213,667802,2.8,Derelict,1980 or earlier,S01010314,-4.26824991581224,55.882432499725354,1980
Glasgow City,,EAST OF 100 DORNAL AVENUE.,251385,669366,0.33,Vacant Land,1986-1990,S01010446,-4.3781614066113175,55.89441401949629,1986
Glasgow City,,MUIRHEAD ROAD / BAILLIESTON RD,268319,663002,3.26,Derelict,1981-1985,S01010088,-4.1044853502314895,55.84220401180419,1981
Glasgow City,,W OF 67 POSSIL ROAD,258647,667087,0.44,Derelict,1981-1985,S01010297,-4.260944545206067,55.876140924480424,1981
Glasgow City,,NORTH OF 620 MARYHILL ROAD,257829,667639,0.12,Vacant Land,1980 or earlier,S01010314,-4.274297687854235,55.880855908531906,1980
Glasgow City,BLINDCRAFT,SARACEN STREET,258975,667630,0.16,Vacant Land,1981-1985,S01010311,-4.255989244375938,55.88111206147188,1981
Glasgow City,,MARYHILL LOCKS,256314,669079,0.96,Derelict,1981-1985,S01010356,-4.299259074541486,55.89333403685016,1981
Glasgow City,,31-49 DUNCRUIN STREET.,256536,669326,0.28,Vacant Land,1986-1990,S01010357,-4.295843289184154,55.89561772210823,1986
Glasgow City,,SOUTH OF 195 FIRPARK STREET.,260635,665565,1.16,Vacant Land,1981-1985,S01010262,-4.22841275309485,55.86305562521161,1981
Glasgow City,,ADAMSWELL STREET SOUTHLOCH STREET,260769,667225,1.55,Vacant Land,2008,S01010208,-4.227126707975522,55.87799796689883,2008
Glasgow City,,S OF EVERARD DR.,260298,668899,1.53,Vacant Land,1981-1985,S01010214,-4.2355132001753235,55.89289075705467,1981
Glasgow City,PROVAN GASWORKS,ROYSTON ROAD,262149,666673,21.89,Derelict,1980 or earlier,S01010228,-4.204805382128576,55.87343896391151,1980
Glasgow City,,WILSON STREET/ CANDLERIGGS/ BRUNSWICK ST.,259481,665048,0.53,Vacant Land,1986-1990,S01010264,-4.246568017415966,55.85807889997001,1986
Glasgow City,,125-145 HOLM ST.,258548,665196,0.1,Vacant Land,2008,S01010273,-4.261538270670906,55.85913472072292,2008
Glasgow City,TRANSPORT DEPOT,2222 LONDON ROAD,264554,662363,0.21,Derelict,1986-1990,S01010071,-4.16424506044126,55.83542402045453,1986
Glasgow City,,DISUSED RAILWAY BURNHAM RD/YOKER FERRY RD.,251834,668225,2.64,Derelict,1980 or earlier,S01010442,-4.37036329214195,55.88430951249722,1980
Glasgow City,,DOWNCRAIG DRIVE/ CARMUNNOCK ROAD.,259464,658695,1.69,Vacant Land,1981-1985,S01009971,-4.243551843044135,55.801036558890914,1981
Glasgow City,PRINCESS DOCK,GOVAN ROAD. (AKA    PACIFIC QUAY),256271,664934,3.25,Derelict,1981-1985,S01009862,-4.297746172223563,55.85610894987645,1981
Glasgow City,,HOUSTON STREET/ OPP HOUSTON PLACE.,257617,664366,0.89,Vacant Land,1986-1990,S01010031,-4.275963773251642,55.85140902191202,1986
Glasgow City,,WEST OF 337BOGMOOR ROAD N OF HILLINGTON IND  EST.,252751,665650,1.96,Vacant Land,1981-1985,S01009833,-4.3543168934855565,55.8614743247936,1981
Glasgow City,,110-140 HARDGATE ROAD,253157,665668,1.65,Derelict,1986-1990,S01009833,-4.347845707688102,55.86175978875131,1986
Glasgow City,,TARFSIDE GARDENS,253789,663703,0.21,Vacant Land,1986-1990,S01009806,-4.336697577066823,55.84431132273274,1986
Glasgow City,GCC WORKS DEPOT.,593 NITSHILL ROAD.,252472,660111,1.15,Derelict,1986-1990,S01009769,-4.355760436487199,55.81166369846218,1986
Glasgow City,,NITSHILL ROAD NTH OF RAILWAY,252288,660197,0.49,Vacant Land,1986-1990,S01009779,-4.358740559410045,55.81237949617642,1986
Glasgow City,,MARYHILL ROAD/ FINGAL STREET.,256454,669200,0.39,Vacant Land,1980 or earlier,S01010356,-4.2970865711797765,55.89446209612946,1980
Glasgow City,,REAR OF 27 BURNHAM ROAD.,252290,667954,0.18,Vacant Land,1986-1990,S01010432,-4.362932129403392,55.88201678056885,1986
Glasgow City,BARLIA NURSERY,EAST OF BARLIA TERRACE,260743,659231,3.87,Vacant Land,1986-1990,S01009981,-4.223439585974527,55.80621931152046,1986
Glasgow City,,SPRINGBURN ROAD/ PETERSHILL ROAD.,260500,667069,0.86,Vacant Land,1986-1990,S01010225,-4.231342532309442,55.8765195544247,1986
Glasgow City,N OF NEW ROAD,DUKE STREET.,262256,664709,0.83,Vacant Land,1986-1990,S01010052,-4.202098284136623,55.85583632573014,1986
Glasgow City,CLYDE DRY DOCKS,GOVAN ROAD.,256086,665457,7.6,Derelict,1986-1990,S01009859,-4.300976648032191,55.86074905644036,1986
Glasgow City,,S OF POSSIL ROAD,258880,667201,0.45,Vacant Land,1986-1990,S01010220,-4.257282963619797,55.877232723803814,1986
Glasgow City,,GARRIOCH QUAD/ CONTIN PLACE.,256869,668201,0.72,Derelict,1980 or earlier,S01010322,-4.289927565185477,55.88561699968885,1980
Glasgow City,,REAR OF 1763 CUMBERNAULD ROAD,264610,667748,0.25,Vacant Land,1986-1990,S01010188,-4.166041422017798,55.883788778765584,1986
Glasgow City,,232-236 BROOMIE- LAW/2 ANDERSTON QUAY.,258140,664976,0.34,Vacant Land,1986-1990,S01010272,-4.267935994644506,55.8570396823628,1986
Glasgow City,,150 CARNTYNEHALL ROAD.,263685,664751,0.22,Vacant Land,1986-1990,S01010132,-4.1793091030479115,55.856619660787565,1986
Glasgow City,,999 ROYSTON ROAD,262507,667063,1.62,Derelict,1986-1990,S01010228,-4.1992863391907065,55.87704279344227,1986
Glasgow City,,EAST OF DALSHOLM RD,255775,669240,2.08,Derelict,1980 or earlier,S01010465,-4.307956232101755,55.89461823125593,1980
Glasgow City,,SOUTH OF M.80 BY ROBROYSTON RD,263704,668084,15.44,Derelict,1981-1985,S01010188,-4.180683035529627,55.886549900851186,1981
Glasgow City,,DUKE ST/BARRACK ST/HUNTER ST.,260417,665115,0.24,Vacant Land,1986-1990,S01010257,-4.231661345182133,55.85895240344992,1986
Glasgow City,,ST GREGORYS S'DY SCHOOL/SKERRYV- ORE ROAD.,264857,665522,3.16,Derelict,1991-1995,S01010162,-4.160984960976451,55.86387210715423,1991
Glasgow City,CARDOWAN BING,"CARDOWAN, SOUTH OF G.D.C. BOUNDARY.",267517,667772,18.22,Derelict,1991-1995,S01010117,-4.119615365276834,55.88481290084084,1991
Glasgow City,ST SCHOLASTICA'S,ST SCHOLASTICA'S SCHOOL/ARNISDALE ROAD.,267192,665645,2.4,Derelict,1991-1995,S01010122,-4.123763996369146,55.865625712215135,1991
Glasgow City,,NW OF JUNCTION OF STEPPS ROAD & BLIARTUMMOCK,265271,665867,0.6,Vacant Land,1991-1995,S01010129,-4.154546585487237,55.86708562769746,1991
Glasgow City,,W OF SANDAIG RD/ NORTH OF RAILWAY LINE.,266024,664406,3.96,Derelict,1991-1995,S01010130,-4.14180089852992,55.85417787430402,1991
Glasgow City,SAUGHS FARM,SAUGHS ROAD.,264660,668830,0.64,Derelict,1991-1995,S01010188,-4.165783969281176,55.89351748355439,1991
Glasgow City,,NORTH OF SHISKINE DRIVE.,256653,669657,0.32,Vacant Land,1980 or earlier,S01010353,-4.294149373004116,55.8986241732919,1980
Glasgow City,,JUNCTION OF POSSIL ROAD/ GARSCUBE ROAD,258579,666940,0.14,Vacant Land,1991-1995,S01010303,-4.2619537278965,55.874801219778846,1991
Glasgow City,,27 SAWMILLFIELD STREET.,258759,666804,0.15,Vacant Land,1991-1995,S01010297,-4.2590083116205095,55.87363304187344,1991
Glasgow City,,EAST OF OLD MANSE ROAD/SOUTH OF RAILWAY,265974,664238,2.93,Derelict,1991-1995,S01010097,-4.142515968122109,55.852655569136054,1991
Glasgow City,,EAST OF SHOWMENS SITE ON KENMUIR ROAD.,265763,662411,10.95,Derelict,1991-1995,S01010091,-4.144979896158919,55.83619295441487,1991
Glasgow City,,OXFORD STREET/ SOUTH PORTLAND STREET.,258889,664556,0.23,Vacant Land,1991-1995,S01010032,-4.2557617941870625,55.853488810518876,1991
Glasgow City,,WEST OF 1159 ROYSTON ROAD/ EAST OF M.80,262719,667291,1.39,Vacant Land,1991-1995,S01010184,-4.196016102180244,55.879150307785025,1991
Glasgow City,,HORNDEAN ROAD/ PENSTON ROAD/ LONMAY ROAD.,265749,665863,2.48,Vacant Land,1991-1995,S01010129,-4.146912186056423,55.86718314147588,1991
Glasgow City,,COMMONHEAD ROAD/ DUNGEONHILL ROAD N'TH'HOUSE RD,268864,665460,4.42,Vacant Land,1991-1995,S01010109,-4.096977154914099,55.86442259302799,1991
Glasgow City,HOWDENS,SCOTLAND STREET/ SHIELDS ROAD.,257767,664087,4.14,Derelict,1991-1995,S01010032,-4.273423522159629,55.84894848643625,1991
Glasgow City,POSSILPARK H.S.,ARDOCH STREET/ CARBETH STREET.,258992,667708,0.55,Derelict,1991-1995,S01010311,-4.255758352109418,55.881817314264204,1991
Glasgow City,,NORTH BROADHOLM,252542,671575,7.12,Vacant Land,1991-1995,S01010492,-4.360881925581613,55.914600446223204,1991
Glasgow City,,EAST OF LOCHGOIN AVENUE.,251846,671970,1.07,Vacant Land,1991-1995,S01010498,-4.372223774027231,55.91793252729052,1991
Glasgow City,,SKERRYVORE ROAD/ LANGNESS ROAD/ MONARCH ROAD.,265001,665621,0.63,Vacant Land,1991-1995,S01010162,-4.1587351841578135,55.86480134249001,1991
Glasgow City,RAIL DEPOT,COWLAIRS ROAD.,260086,667993,0.63,Derelict,1991-1995,S01010223,-4.238431818343766,55.88469513635147,1991
Glasgow City,,MANSE ROAD/WEST OF M.73,269342,664648,2.69,Derelict,1991-1995,S01010088,-4.088953510899382,55.857261577667465,1991
Glasgow City,,OPPOSITE 239 CLEEVES ROAD CLEEVES ROAD.,252315,660346,0.48,Vacant Land,1991-1995,S01009778,-4.358391044240456,55.81372537817652,1991
Glasgow City,,7-29 KILLEARN STREET,259597,667546,0.52,Vacant Land,1991-1995,S01010221,-4.246011035264179,55.880539659217305,1991
Glasgow City,POSSIL IRON W'KS,DENMARK STREET/ ALLANDER STREET/ BARDOWIE ST.,259273,667791,0.41,Derelict,1991-1995,S01010224,-4.251313278982292,55.88264467882138,1991
Glasgow City,,4-10 STONYHURST STREET.,259610,667688,1.4,Vacant Land,1991-1995,S01010221,-4.245877046374991,55.88181831713066,1991
Glasgow City,,FARNELL STREET,258766,666860,0.26,Vacant Land,1991-1995,S01010297,-4.2589257335637445,55.8741378552005,1991
Glasgow City,,MONYMUSK PLACE/ LADYLOAN AVENUE.,251467,672076,0.24,Vacant Land,1991-1995,S01010497,-4.378340675030048,55.91876719542355,1991
Glasgow City,,FETTERCAIRN AVENUE.,251253,671659,0.3,Vacant Land,1991-1995,S01010502,-4.381532047371094,55.91495763307942,1991
Glasgow City,,11 LOCHDOCHART ROAD.,268425,665544,1.18,Vacant Land,1991-1995,S01010106,-4.10402735956557,55.86505713693468,1991
Glasgow City,,4-8 BUCHLYVIE STREET.,267760,665437,1.68,Vacant Land,1991-1995,S01010122,-4.1145931498100525,55.86391435887265,1991
Glasgow City,,3-23 BUCHLYVIE STREET.,267882,665467,1.97,Vacant Land,1991-1995,S01010112,-4.112659868532227,55.86421718809854,1991
Glasgow City,,NORTH OF 1538 MARYHILL ROAD.,256785,668869,0.18,Vacant Land,1980 or earlier,S01010356,-4.291622909921341,55.89158909284592,1980
