Planning Authority,Site Name,Address,East,North,Site Size,Site Type,Period when site became Vacant or Derelict,Datazone,lon,lat,Start Year
Glasgow City,,EAST OF ALLNACH PLACE/ST COLLETE P. S. SITE,269235,665923,1.21,Derelict,1996-2000,S01010109,-4.091276914868927,55.86868064401079,1996
Glasgow City,,20-38 THARSIS STREET,260738,666280,1.29,Vacant Land,1996-2000,S01010232,-4.227135866248412,55.86950473011235,1996
Glasgow City,,CAMBUSLANG ROAD/ FULLARTON ROAD.,263775,661858,0.59,Vacant Land,1996-2000,S01010071,-4.1764199660760815,55.83067055058479,1996
Glasgow City,,LIDDESDALE SQ/ ASHGILL ROAD.,260143,669330,0.24,Vacant Land,1980 or earlier,S01010335,-4.238212514761499,55.89671525344471,1980
Glasgow City,COWLAIRS PARK,NORTH OF KEPPOCHILL ROAD,259477,667333,19.88,Derelict,1996-2000,S01010221,-4.2478170966552256,55.87859235933627,1996
Glasgow City,,LIDDLESDALE ROAD SCALPAY STREET/ LIDDLESDALE P,259483,669334,2,Vacant Land,1996-2000,S01010332,-4.248760407506897,55.89655892740738,1996
Glasgow City,,DRUMMORE RD SUMMERHILL RD SADDELL RD,252738,671852,1.2,Vacant Land,1996-2000,S01010492,-4.3578999572596455,55.91714717391242,1996
Glasgow City,,121 DUNKENNY ROAD,251475,671426,0.12,Vacant Land,2005,S01010501,-4.377855382219462,55.91293457961776,2005
Glasgow City,PLAYING FIELDS,WALLACEWELL ROAD BROOMFIELD ROAD,261944,667797,4.57,Derelict,1996-2000,S01010199,-4.208652264366633,55.883471725347476,1996
Glasgow City,,2127-2131 DUMBARTON ROAD,251629,668406,0.69,Vacant Land,1996-2000,S01010442,-4.373736777124863,55.88587125373846,1996
Glasgow City,GARTLOCH HOSP 3,GARTLOCH ROAD,268195,667221,2.74,Vacant Land,1996-2000,S01010109,-4.108515937238069,55.88005168559479,1996
Glasgow City,,COGAN STREET,256123,661157,1.08,Vacant Land,1996-2000,S01009938,-4.298106303906263,55.82215612276769,1996
Glasgow City,,41-125 EASTERHILL ST.,263934,663025,0.66,Derelict,1996-2000,S01010071,-4.174468512356958,55.841193262322555,1996
Glasgow City,,S OF HAYWOOD ST,259220,668829,1.41,Vacant Land,1980 or earlier,S01010325,-4.252699871192244,55.891948241720314,1980
Glasgow City,QUEENSLIE I. EST,WEARDALE LANE/ WEARDALE STREET,265434,665690,0.7,Vacant Land,1996-2000,S01010129,-4.151855995399102,55.865541980299426,1996
Glasgow City,CLEDDENS PRIMARY,KATEWELL  AVENUE,251184,671777,2.09,Vacant Land,1996-2000,S01010502,-4.382699984479165,55.91599557932813,1996
Glasgow City,,S OF 13 EDAY ST,259723,668781,1.24,Vacant Land,1980 or earlier,S01010324,-4.244638770187035,55.891664140464236,1980
Glasgow City,,8-12 ARNISDALE ROAD,267027,665707,1.09,Vacant Land,1996-2000,S01010119,-4.1264289852633524,55.866136882451855,1996
Glasgow City,,AUCHINGILL ROAD OPP BISHOP LOCH PRIMARY SCH.,268619,666525,0.38,Vacant Land,1996-2000,S01010111,-4.101405564152674,55.87391829878537,1996
Glasgow City,ST CLARES,DRUMLANRIG AVE.,268537,665873,0.42,Vacant Land,1996-2000,S01010111,-4.102398695031706,55.86804173991831,1996
Glasgow City,W. SUBURB CENTRE,GARTLOCH ROAD / STEPPS ROAD,265109,666293,1.24,Vacant Land,1996-2000,S01010171,-4.15734541783464,55.87086513932306,1996
Glasgow City,,BERRYKNOWES ROAD N OF CEMETERY / S OF RAILWAY,253813,664573,1.17,Vacant Land,1996-2000,S01009851,-4.336783473188954,55.852128956578255,1996
Glasgow City,H'END ALLOTMENTS,S OF 91 HILLEND ROAD,258451,668927,3.19,Derelict,1981-1985,S01010333,-4.265036982068044,55.892602561341164,1981
Glasgow City,RUCHILL HOSPITAL,BILSLAND DRIVE,258354,668309,16.17,Derelict,1996-2000,S01010326,-4.266263158712578,55.887025745642106,1996
Glasgow City,DEAF SCHOOL,STORNOWAY STREET SHAPINSAY STREET,259565,669675,3.02,Vacant Land,1996-2000,S01010338,-4.247627274856097,55.89964432746525,1996
Glasgow City,,N OF 26 CLADDENS ROAD,258899,668867,0.47,Vacant Land,1980 or earlier,S01010331,-4.257848129278877,55.892195417372506,1980
Glasgow City,ST LEONARDS H.S.,LOCHEND ROAD/ CAIRNBROOK ROAD,267972,666010,3.18,Vacant Land,1996-2000,S01010110,-4.1114874924972495,55.8691173276548,1996
Glasgow City,GLENCONNER PARK,CHARLES STREET/ CHRISTOPHER ST.,261277,666653,0.5,Derelict,1996-2000,S01010225,-4.21872034978075,55.873009071349074,1996
Glasgow City,,OSBOURE STREET/ OLD WYND,259364,664879,0.34,Vacant Land,1996-2000,S01010264,-4.248347976415938,55.856527500056586,1996
Glasgow City,CHIRNSIDE P.F.,ASHGILL ROAD,259860,668999,2.24,Derelict,1996-2000,S01010324,-4.242562935117582,55.89366123565869,1996
Glasgow City,CARDONALD BIS PK,WEST OF FIFTY PITCHES ROAD/ SOUTH OF M8,252915,665350,0.58,Vacant Land,1981-1985,S01009833,-4.351536199878969,55.8588312101428,1981
Glasgow City,,STRACHUR STREET/ ERRADALE STREET.,258227,669365,0.56,Derelict,1980 or earlier,S01010334,-4.268845325976049,55.896468910705494,1980
Glasgow City,,FETTERCAIRN AVE/ INCHFAD DRIVE/ KERRY PLACE.,251430,671469,0.19,Vacant Land,1996-2000,S01010501,-4.378598295178344,55.91330669669672,1996
Glasgow City,SPORTS PITCHES,DUNTREATH AVENUE GARSCADDEN ROAD.,252156,670808,1.15,Vacant Land,1996-2000,S01010489,-4.366632274053979,55.9075964945603,1996
Glasgow City,,RONALDSAY STREET LIDDLESDALE SQ.,259842,669281,4.05,Derelict,1980 or earlier,S01010335,-4.242996665762161,55.89618777437334,1980
Glasgow City,,PENDEEN ROAD/ OPP MILLBEG CRES,266591,664424,0.35,Vacant Land,1996-2000,S01010124,-4.1327591580612095,55.854496748291524,1996
Glasgow City,,COMMERCE STREET/ CENTRE STREET,258479,664349,0.1,Derelict,1996-2000,S01010032,-4.2621976204302365,55.85151020145792,1996
Glasgow City,ST ANTHONYS F.C.,HELEN STREET/ EDMISTON DRIVE.,255043,664755,0.43,Vacant Land,1996-2000,S01009843,-4.317250703315015,55.854134260386594,1996
Glasgow City,,STONEYHURST ST/ TANNOCK STREET.,258850,667704,1.07,Derelict,1996-2000,S01010311,-4.258024328729843,55.88173980274964,1996
Glasgow City,,BURMOLA STREET/ TANNOCK STREET/ HOBART STREET,258802,667782,0.59,Vacant Land,1996-2000,S01010311,-4.258831683687461,55.88242600462328,1996
Glasgow City,,BARDOWIE STREET/ BURMOLA STREET/ HOBART STREET,258794,667856,0.58,Vacant Land,2005,S01010311,-4.258998069041617,55.88308802054654,2005
Glasgow City,MEAT MARKET (N),BELGROVE STREET/ DUKE STREET,260719,664951,1.33,Vacant Land,1996-2000,S01010254,-4.22675619114563,55.85756736318668,1996
Glasgow City,,CORSOCK STREET/ APPIN ROAD/ TODD STREET,262223,665175,2.14,Vacant Land,1996-2000,S01010246,-4.202861877020221,55.86001075453586,1996
Glasgow City,,ARMOUR STREET/ SYDNEY STREET/ BARRACK ST,260413,664922,0.66,Derelict,2001-2004,S01010254,-4.231625819320617,55.85721847851802,2001
Glasgow City,,ABERNETHY STREET DUNRAGIT STREET,262153,665082,0.1,Vacant Land,2010,S01010245,-4.203932055338114,55.859155762662326,2010
Glasgow City,,BENGAIRN STREET/ APPIN ROAD,262347,665088,0.6,Vacant Land,1996-2000,S01010245,-4.200838166909543,55.85926507957564,1996
Glasgow City,MEAT MARKET (S),BELLGROVE STREET GRAHAMS SQUARE/ GALLOWGATE,260680,664877,1.52,Vacant Land,1996-2000,S01010254,-4.227340705803136,55.85689171307297,1996
Glasgow City,,CARNTYNE ROAD/ TODD STREET,262436,665050,0.46,Vacant Land,2001-2004,S01010246,-4.199398117532811,55.85894931694044,2001
Glasgow City,,BELLROCK COURT/ SOUTRA PLACE.,264572,665833,0.77,Vacant Land,1996-2000,S01010160,-4.16569068666774,55.86658439127862,1996
Glasgow City,,HILLHEAD ROAD/ STANDBURN ROAD.,262707,669165,0.57,Vacant Land,1991-1995,S01010189,-4.197158644765136,55.89597209677161,1991
Glasgow City,,34/48 DEVON ST/ EGLINTON STREET,258558,663781,0.1,Vacant Land,1996-2000,S01010034,-4.2606406127106515,55.8464339382477,1996
Glasgow City,,28 WILTONBURN ROAD.,252249,659910,0.13,Vacant Land,1996-2000,S01009769,-4.359206374094918,55.809791069503675,1996
Glasgow City,EX GCC DEPOT,"NITSHILL ROAD REAR OF 49, 85 WOODNEUK ROAD",252697,660107,1.06,Derelict,1996-2000,S01009769,-4.352171214941185,55.81169648156714,1996
Glasgow City,,HYDEPARK STREET (EAST SIDE),257762,665209,0.11,Vacant Land,1996-2000,S01010276,-4.274091856652194,55.85902011524239,1996
Glasgow City,,ROBROYSTON RD/ ROYSTON ROAD,263238,667453,0.79,Vacant Land,1996-2000,S01010188,-4.187808519479746,55.880752455138904,1996
Glasgow City,,ROBROYSTON ROAD/ COLINTRAVE  CRES ROYSTON RD,263316,667530,1.54,Vacant Land,1996-2000,S01010188,-4.186601537970085,55.88146592963978,1996
Glasgow City,,FLEURS AVENUE,256082,663812,0.94,Derelict,2001-2004,S01009871,-4.300167475434073,55.84597963784886,2001
Glasgow City,,GREENSIDE CRES.,263178,667165,0.78,Vacant Land,2001-2004,S01010181,-4.188621316685288,55.87814966333555,2001
Glasgow City,,SKERRYVORE ROAD.,264969,665708,2.1,Vacant Land,2001-2004,S01010165,-4.159289463791568,55.8655735046261,2001
Glasgow City,,LAMLASH CRESCENT LONGSTONE ROAD,264764,665884,1.21,Vacant Land,2001-2004,S01010161,-4.162650472679928,55.867096221684896,2001
Glasgow City,,WEST OF 104 WOODVILLE STREET,255777,664856,0.15,Derelict,2001-2004,S01009862,-4.305589518202841,55.855261148796984,2001
Glasgow City,,EASTERHOUSE ROAD ABERDALGIE ROAD BALDINNIE RD.,268070,665367,2.24,Vacant Land,2001-2004,S01010112,-4.109609456746355,55.863370821154504,2001
Glasgow City,,SKERRAY STREET/ CATHAY STREET,259321,669885,0.79,Vacant Land,2001-2004,S01010344,-4.251635583852074,55.90145841730833,2001
Glasgow City,,BANKBRAE AVENUE/ GLENLORA DRIVE,252339,660883,0.52,Vacant Land,2001-2004,S01009784,-4.358300116852757,55.8185535457035,2001
Glasgow City,,KINCLAVEN AVENUE BLACKCRAIG AVE LINKWOOD DR.,252475,671354,1.56,Vacant Land,2001-2004,S01010493,-4.361832209100662,55.91259594844156,2001
Glasgow City,,SOUTH OF 79 ELLESMERE STREET APPLECROSS ST,258741,667242,0.49,Vacant Land,1981-1985,S01010313,-4.259524235525596,55.87756007022929,1981
Glasgow City,,BARNKIRK AVENUE/ BLACKCRAIG AVE/ KINFAUNS DR.,252385,671467,1.32,Vacant Land,2001-2004,S01010496,-4.363332487313091,55.913582757384106,2001
Glasgow City,,INVERCANNY DRIVE INVERCANNY PLACE,252018,671708,0.46,Vacant Land,2001-2004,S01010496,-4.36933066393164,55.915633477900606,2001
Glasgow City,,BARNKIRK AVENUE/ BLACKCRAIG AVE.,252322,671377,1.24,Vacant Land,2001-2004,S01010496,-4.364290290827974,55.91275547646431,2001
Glasgow City,DALSETTER,GARSCADDEN ROAD.,252058,670806,1.02,Vacant Land,2001-2004,S01010489,-4.368197378046547,55.90754841633559,2001
Glasgow City,,CARBETH STREET/ BARDOWIE STREET.,258953,667879,0.14,Derelict,1981-1985,S01010311,-4.256470379442635,55.883341109965734,1981
Glasgow City,,CENTRE STREET/ TRADESTON STREET /COOK STREET,258414,664373,0.72,Vacant Land,2001-2004,S01010032,-4.263247535683618,55.85170658594366,2001
Glasgow City,,BELLROCK STREET WEST OF SOUTRA PLACE,264487,665815,0.16,Vacant Land,2001-2004,S01010160,-4.167038878449849,55.866398880326685,2001
Glasgow City,,WEST OF AVENUE END ROAD/ NORTH OF THE M8,264893,666193,3.22,Vacant Land,2001-2004,S01010169,-4.160744804304959,55.86990676192154,2001
Glasgow City,,NEWHAVEN ROAD/ LAMLASH CRESCENT,264883,665821,0.93,Vacant Land,2001-2004,S01010165,-4.160718948315078,55.86656396428886,2001
Glasgow City,SITE 4,FULLARTON DRIVE/ CLYDESMILL ROAD,264510,662230,0.74,Derelict,2001-2004,S01010071,-4.164880669195639,55.83421752322021,2001
Glasgow City,,LOCHDOCHART ROAD /TWINLAW STREET,268835,666277,0.87,Vacant Land,2001-2004,S01010109,-4.097835774433893,55.87175041562575,2001
Glasgow City,,KINFAUNS DRIVE/ AIRGOLD DRIVE.,251974,671760,2.83,Vacant Land,2001-2004,S01010496,-4.370062496062708,55.91608674826562,2001
Glasgow City,,2-80  BARRISDALE ROAD,256862,669515,0.59,Vacant Land,2001-2004,S01010353,-4.290734637885094,55.8974115536956,2001
Glasgow City,,ANDERSTON QUAY/ WASHINGTON ST.,258058,664990,0.38,Derelict,2001-2004,S01010272,-4.269252206823477,55.85714123202888,2001
Glasgow City,,LILLYBURN PLACE,251278,672010,1.26,Vacant Land,2001-2004,S01010497,-4.381325697296334,55.91811630261966,2001
Glasgow City,,MELBOURNE STREET ARMOUR STREET SYDNEY STREET,260496,664908,0.29,Derelict,1996-2000,S01010254,-4.230293729758671,55.857116814923,1996
Glasgow City,,BALLATER STREET/ CROWN STREET,259371,664314,0.37,Vacant Land,1981-1985,S01010032,-4.2479432220989795,55.85145698929513,1981
Glasgow City,SUMMERHILL P.S.,DRUMMORE ROAD,252589,671921,1.71,Vacant Land,2001-2004,S01010492,-4.360319477195144,55.91772095371803,2001
Glasgow City,DRUMCHAPEL T.C.,20-40 HECLA SQUARE / HECLA PLACE,251665,671069,0.59,Vacant Land,2001-2004,S01010499,-4.374622482182415,55.909788387751526,2001
Glasgow City,DRUMCHAPEL T.C.,43 - 51 HECLA SQUARE,251706,671021,0.64,Vacant Land,2001-2004,S01010499,-4.37394086021975,55.909370127145685,2001
Glasgow City,BROADHOLM P.S.,LINKWOOD DRIVE,252404,671194,2.32,Vacant Land,2001-2004,S01010489,-4.362879649766074,55.91113782326118,2001
Glasgow City,,BEHIND THE SHOPS 2-16 ROZELLE AVE,252980,671262,0.24,Vacant Land,2001-2004,S01010495,-4.353710313924341,55.9119246538065,2001
Glasgow City,,KINFAUNS DRIVE/ PEEL GLEN ROAD,252308,671676,0.91,Vacant Land,2001-2004,S01010492,-4.3646775304132515,55.91543534490877,2001
Glasgow City,,BORRON STREET,259325,667072,0.28,Vacant Land,2001-2004,S01010220,-4.250109089225562,55.87620474853787,2001
Glasgow City,,125-187 BOGMOOR ROAD.,253133,665837,1.43,Derelict,2001-2004,S01009833,-4.348320399697038,55.86326964397239,2001
Glasgow City,,BROOMIELAW / MACALPINE STREET BROWN STREET,258221,665020,0.59,Vacant Land,2001-2004,S01010273,-4.266666082734262,55.85745853975188,2001
Glasgow City,,BROOMLOAN ROAD,255554,665078,2.55,Derelict,2001-2004,S01009861,-4.309267050355541,55.857187403626845,2001
Glasgow City,,TWINLAW STREET/ ABBEYCRAIG ROAD.,268992,666206,1.33,Vacant Land,2001-2004,S01010109,-4.095294163513502,55.87115564132356,2001
Glasgow City,COWLAIRS IND EST,WEST OF 19 INVERURIE STREET,259708,667494,0.74,Vacant Land,1980 or earlier,S01010221,-4.244211206903463,55.880105153977475,1980
Glasgow City,,COLVEND STREET/ NORMAN STREET/ REID STREET,260901,663131,0.29,Derelict,2001-2004,S01010046,-4.222917619443382,55.841279728041926,2001
Glasgow City,,395 OLD SHETTLESTON ROAD,264157,664391,0.24,Derelict,2001-2004,S01010147,-4.17159427005921,55.85352068167523,2001
Glasgow City,,CAIRNSMORE ROAD,251578,670844,0.28,Vacant Land,2001-2004,S01010503,-4.375889378161545,55.90774171213233,2001
Glasgow City,,6-58 STIRRAT STREET,256394,668803,0.19,Vacant Land,2001-2004,S01010360,-4.297834431886617,55.89088009105527,2001
Glasgow City,,1-57 BARRISDALE ROAD,256802,669526,0.18,Vacant Land,2001-2004,S01010353,-4.291699160849975,55.89749245981576,2001
Glasgow City,,9 MAYBOLE STREET,251950,660671,0.14,Vacant Land,2001-2004,S01009776,-4.364387307189816,55.816531214291174,2001
Glasgow City,BOWLING GREENS,GLENCONNER PARK ROYSTON ROAD,261183,666509,0.57,Vacant Land and Buildings,2001-2004,S01010225,-4.220147636358441,55.87168914400927,2001
Glasgow City,W.S.SCIENCE PARK,ACRE ROAD/SOUTH OF THE RIVER KELVIN,256168,670406,0.34,Vacant Land,2001-2004,S01010347,-4.302297528624623,55.90520366746939,2001
Glasgow City,W.S.SCIENCE PARK,ACRE ROAD/EAST OF LAW HOUSE (TODD CAMPUS),256013,670426,0.53,Vacant Land,2001-2004,S01010347,-4.304785293770935,55.90533685930489,2001
Glasgow City,CARDONALD BIS PK,140 FIFTY PITCHES ROAD / M8,253306,664846,0.52,Vacant Land,2005,S01009836,-4.345022427089828,55.854425779783526,2005
Glasgow City,M8 FOODPARK,KEPPOCHILL DRIVE,259781,667052,0.23,Vacant Land,2005,S01010221,-4.242816359212789,55.87615815279085,2005
Glasgow City,,EAGLE STREET/ BORRON STREET,259143,667019,0.42,Vacant Land,2005,S01010220,-4.252988063819701,55.875675730399,2005
Glasgow City,,32 BALMORE ROAD.,259052,667993,0.19,Derelict,1981-1985,S01010326,-4.254948428667434,55.88439357654522,1981
Glasgow City,,26-36 COTTAR STREET,257053,669267,0.18,Vacant Land,2005,S01010356,-4.287551689164081,55.895241859472925,2005
Glasgow City,TEMPLE GAS WORKS,N OF DORCHESTER AVE/ S OF FORTH & CLYDE CANAL,255330,669042,3.81,Derelict,2005,S01010468,-4.3149600544812925,55.89270714837994,2005
Glasgow City,,LEDAIG STREET/ BALURE STREET,262485,665284,0.21,Vacant Land,2005,S01010246,-4.198734622714049,55.861064213521416,2005
Glasgow City,,KILDERMORIE ROAD M8/ WESTERHOUSE ROAD,266941,665710,0.45,Vacant Land,2005,S01010119,-4.127803639919816,55.86614007630648,2005
Glasgow City,ST BENEDICT'S,WESTERHOUSE ROAD,267395,666097,1.12,Vacant Land,2005,S01010117,-4.1207439261141605,55.86974000149189,2005
Glasgow City,,ABBEYCRAIG ROAD LOCHDOCHART ROAD,268905,666168,0.38,Vacant Land,2005,S01010109,-4.096665126385053,55.87079077682367,2005
Glasgow City,,183-187 GLENLORA DRIVE,252240,660972,0.9,Vacant Land,2005,S01009784,-4.359927079566344,55.81932223393191,2005
Glasgow City,,REAR OF 593 WOODNEUK ROAD,252659,659994,0.11,Derelict,2005,S01009769,-4.352715797054612,55.810670444284945,2005
Glasgow City,HENRY BOOT YARD,NASMYTH ROAD NORTH / AINSLIE ROAD,252625,665160,1,Derelict,2005,S01009833,-4.356061820360273,55.8570369448253,2005
Glasgow City,,CHURCH STREET,268083,663934,0.1,Vacant Land,2010,S01010090,-4.10870457200466,55.850507766781284,2010
Glasgow City,M.VERNON STADIUM,DALDOWIE ROAD BOGHALL ROAD,267159,662987,1.38,Derelict,2005,S01010091,-4.122988697955026,55.841751189520764,2005
Glasgow City,,"WEST OF GREENLAW ROAD,TO G.D.C. BOUNDARY.",250727,668832,6.29,Derelict,1980 or earlier,S01010441,-4.388378952321109,55.88941669364082,1980
Glasgow City,CITY WHARF,51-55 CHEAPSIDE ST/ PICCADILLY STREET,257958,665029,0.64,Vacant Land,2006,S01010277,-4.270868840689489,55.85746190916304,2006
Glasgow City,CITY WHARF,CHEAPSIDE STREET WARROCH STREET,257908,665074,0.73,Vacant Land,2006,S01010277,-4.2716905328225,55.85785117404451,2006
Glasgow City,,2-14  BIRNIE COURT,262177,667555,0.24,Vacant Land,2006,S01010202,-4.204807208774956,55.88136574913326,2006
Glasgow City,,3-21 BIRNIE COURT,262185,667517,0.46,Derelict,2007,S01010202,-4.20466008058671,55.88102686726286,2007
Glasgow City,,21 BLAIRTUMMOCK ROAD,265344,665959,0.6,Derelict,2006,S01010129,-4.1534266972898335,55.86793205929628,2006
Glasgow City,,BOGMOOR ROAD,253058,665878,0.27,Vacant Land,2006,S01009833,-4.34953990217403,55.86361485175896,2006
Glasgow City,,5-17 LILLYBURN PLACE,251386,672017,0.72,Vacant Land,2006,S01010497,-4.379603081650368,55.9182125266862,2006
Glasgow City,,PRESTWICK STREET / LEVERN BRIDGE ROAD,252065,660908,0.47,Derelict,2006,S01009797,-4.3626827027448325,55.8186940876895,2006
Glasgow City,RAILWAY SOLUM,DALDOWIE ROAD,267043,662940,0.83,Derelict,1980 or earlier,S01010091,-4.124816711506771,55.84129722233889,1980
Glasgow City,,SOUTH OF 55 DALNESS STREET,263988,663396,0.11,Derelict,2006,S01010062,-4.173792827872274,55.84453949444552,2006
Glasgow City,FORMER PITCHES,DALSWINTON PATH AUCHENCROW ST/ LOCHEND H.S.,268546,665746,3.77,Vacant Land,2006,S01010106,-4.102193355828648,55.86690388565448,2006
Glasgow City,,22-24 TWINLAW STREET,269121,666175,0.13,Vacant Land,2006,S01010109,-4.093219100837044,55.870912362101734,2006
Glasgow City,,12-24 KILMUIR DRIVE / 49-55 KILMUIR CRES,254254,659529,0.97,Vacant Land,2006,S01009760,-4.327038609033202,55.80697995077341,2006
Glasgow City,,LOCHAR CRESCENT/ WHITE CART WATER,253636,662663,0.59,Vacant Land,2006,S01009799,-4.338578017506593,55.83492839441913,2006
Glasgow City,,32-40 WHITRIGGS ROAD,251844,659929,0.5,Vacant Land,2006,S01009768,-4.365673058592905,55.80983754973455,2006
Glasgow City,MUS.RESOURCE CTR,WOODHEAD ROAD,251874,660074,0.88,Vacant Land,2006,S01009768,-4.365273798239132,55.81114846075576,2006
Glasgow City,,6-86 NIVEN ST / BURNHOUSE STREET,256382,668852,0.34,Vacant Land,2006,S01010360,-4.298052151268992,55.891316413924365,2006
Glasgow City,,7-73 COLLINA ST/ 114-186 BURNHOUSE ST,256449,668898,1.13,Vacant Land,2006,S01010360,-4.297006186624381,55.891749367503245,2006
Glasgow City,CAMBUSLANG I.PRK,SOUTH OF CAMBUSLANG ROAD,263768,661752,1.29,Vacant Land,2006,S01010071,-4.176478454547861,55.829716859587315,2006
Glasgow City,,FIRHILL ROAD / FIRHILL COURT,258057,667827,0.26,Derelict,2006,S01010314,-4.270754717735861,55.882610987588045,2006
Glasgow City,,25-57 DRUMMORE ROAD,252713,671942,1.51,Vacant Land,2007,S01010497,-4.358348678732976,55.91794746492843,2007
Glasgow City,,BANKGLEN ROAD DRUMMORE ROAD,252832,671797,0.13,Vacant Land,2007,S01010494,-4.356367335449523,55.91668220059143,2007
Glasgow City,,EAST OF 76 HAMILTON ROAD,265207,662787,0.35,Derelict,2007,S01010074,-4.154037431756259,55.83941384373643,2007
Glasgow City,ST MODANS PRIMRY,BELLROCK CRES/ FASTNET STREET/ CLOCH STREET,264407,665876,1.52,Derelict,2007,S01010160,-4.168346759718435,55.866924058079036,2007
Glasgow City,SCOTBEEF,PENSTON ROAD,265887,665990,1,Vacant Land,2007,S01010129,-4.144771546037468,55.868361853055866,2007
Glasgow City,RUGBY PITCH,REAR  1545-1557 CUMBERNAULD ROAD,264233,667745,1.38,Vacant Land,2007,S01010188,-4.172062120352776,55.883655692039085,2007
Glasgow City,,350-354 PROVANMILL ROAD,262869,667178,0.11,Derelict,2007,S01010180,-4.193563084995457,55.87817849831439,2007
Glasgow City,,AUCHINGILL ROAD CALCOTS PATH LIFF PLACE,268392,666219,1.32,Vacant Land,2007,S01010111,-4.104882200418216,55.87110881697682,2007
Glasgow City,,BETWEEN 286-288 RYEHILL ROAD,262442,668133,0.1,Vacant Land,2007,S01010200,-4.200868224881821,55.88663092730926,2007
Glasgow City,,BRIGHTON STREET/ BRITON STREET/ IONA STREET,255703,665019,0.49,Vacant Land,2007,S01009861,-4.306857368107142,55.85670235257,2007
Glasgow City,BT DEPOT,LANCEFIELD QUAY/ LANCEFIELD ST / ELLIOT STREET,257538,665110,1.45,Vacant Land and Buildings,2007,S01010276,-4.277615475345369,55.85806515827043,2007
Glasgow City,,131 GROVEPARK STREET,258148,667026,0.13,Derelict,2007,S01010301,-4.268881536063359,55.87544658161412,2007
Glasgow City,MUIRHOUSE WORKS,57 MAXWELL ROAD,258195,663391,1.02,Derelict,2007,S01009881,-4.266229417877684,55.84282595593813,2007
Glasgow City,,91-97 FORDNEUK STREET,261177,664211,0.63,Derelict,2007,S01010055,-4.219066397748906,55.85105566510429,2007
Glasgow City,,CLARENCE DRIVE/ CROW ROAD.,255166,667153,0.13,Derelict,2007,S01010398,-4.316569271297061,55.875699346673365,2007
Glasgow City,,694 DUKE STREET/ SOUTH OF THE RAILWAY LINE.,261997,664745,2.2,Derelict,2007,S01010245,-4.2062508125298095,55.85608545965768,2007
Glasgow City,,1629-1647 MARYHILL ROAD,256602,668929,0.41,Vacant Land,2007,S01010356,-4.2945783011427014,55.8920732736718,2007
Glasgow City,,BROOMLOAN ROAD/ HINSHELWOOD DRIVE,255394,664500,0.64,Vacant Land,2007,S01009864,-4.311512660549384,55.851950393794986,2007
Glasgow City,B.A.E. SHIPYARD,EAST OF HOLMFAULD ROAD LINTHOUSE,254334,666171,9.22,Derelict,2007,S01009847,-4.3293273857799806,55.86663262568094,2007
Glasgow City,ST MARNOCK ANNEX,LANGTON ROAD,253411,662294,0.13,Vacant Land,2008,S01009799,-4.341968031753999,55.831547415477246,2008
Glasgow City,,2-64 LYNDALE RD,256779,669552,0.2,Derelict,2008,S01010353,-4.2920804327069675,55.897719034577484,2008
Glasgow City,,831-1201 KILMUN STREET,256558,669529,0.92,Derelict,2008,S01010353,-4.295599456365386,55.89744673420605,2008
Glasgow City,,84 - 214 KILMUN STREET,256673,669427,3.74,Derelict,2008,S01010353,-4.2937078934489135,55.89656527682169,2008
Glasgow City,,KNOWETAP STREET/ SOUTH OF RAILWAY,257028,669551,6.18,Vacant Land,2008,S01010352,-4.28810126772297,55.89778408959665,2008
Glasgow City,,PARKSIDE GARDENS,258396,668558,0.1,Derelict,2008,S01010327,-4.265722549066651,55.88927357487355,2008
Glasgow City,EASTHALL P.S.,WELLHOUSE ROAD / GLENBURNIE PLACE / WARE ROAD,266883,665376,0.96,Derelict,2009,S01010119,-4.128565651691698,55.863125179640534,2009
Glasgow City,F'MER STV STUDIO,200 RENFIELD ST RENFREW STREET HOPE STREET,258941,665929,0.2,Vacant Land,2008,S01010275,-4.255646335232839,55.8658307093215,2008
Glasgow City,FM'R SOCIAL CLUB,GARTOCHER ROAD/ GARTOCHER TERR.,265272,664394,0.35,Vacant Land,2008,S01010136,-4.1537984106829375,55.85386053756224,2008
Glasgow City,,14 GARTOCHER TERRACE,265446,664441,0.3,Vacant Land,2008,S01010136,-4.151044356297009,55.854331130028044,2008
Glasgow City,COMMONHEAD & ST,COLLETTES  P. S. DUNGEONHILL RD / COMMONHEAD RD,268808,665619,2.07,Vacant Land,2009,S01010108,-4.097948284584706,55.8658349857244,2009
Glasgow City,BISHOP LOCH P.S.,LOCHEND ROAD/ AUCHINGILL ROAD/ SKELBO PLACE,268621,666407,2.04,Vacant Land,2009,S01010111,-4.101316376314627,55.872859344078606,2009
Glasgow City,WELLHOUSE P.S.,2-4 BALADO ROAD BARTIEBEITH ROAD,266243,665367,1.6,Vacant Land,2009,S01010129,-4.138779378955484,55.8628671481236,2009
Glasgow City,BLAIRTUMMOCK P.S,ABERDALGIE ROAD/ BALDINNIE ROAD,267792,665556,1.63,Vacant Land,2009,S01010112,-4.114140286028263,55.86499161173463,2009
Glasgow City,RUCHAZIE P.S.,GARTLOCH ROAD/ DRUMLOCHY ROAD/ ELIBANK ST,264367,666349,1.89,Vacant Land,2008,S01010178,-4.169222271653127,55.87115959485984,2008
