Datazone,dist_km,Income_Domain_Rank,Employment_Domain_Rank,Education_Domain_Rank,Health_Domain_Rank,Crime_Domain_Rank,Access_Domain_Rank
S01010135,0.5291113692157695,618.0,701.0,1264,489,3392.0,5438
S01010136,0.21645480840297548,2255.0,2363.0,2459,1926,4695.0,6794
S01010137,0.4484809527163608,493.0,680.0,2463,477,1698.0,6758
S01010138,0.3446194555260347,7.0,1.0,864,5,323.0,4467
S01010139,0.6007118590432484,623.0,587.0,796,503,1818.0,6830
S01010140,0.4610858369026106,2067.0,2231.0,1811,1273,375.0,6873
S01010141,0.38097689065443474,98.0,146.0,309,88,945.0,6975
S01010142,0.18813212264415444,386.0,350.0,805,64,1085.0,6748
S01010143,0.4851363736831504,1150.0,1217.0,2753,819,4245.0,6780
S01010144,0.15165477247355758,945.0,840.0,748,548,794.0,5714
S01010145,0.14037514418166863,1795.0,1573.0,862,1787,2105.0,6406
S01010146,0.17646537081580904,240.0,590.0,1536,141,755.0,6639
S01010147,0.21691347852921458,138.0,267.0,55,98,469.0,6941
S01010148,0.24614728878369158,294.0,783.0,53,166,492.0,4896
S01010149,0.13984667730120964,1613.0,2561.0,2136,578,2363.0,3380
S01010150,0.18635523836478265,140.0,171.0,141,86,1209.0,4627
S01010151,0.3248130702319396,193.0,312.0,430,387,3745.0,6024
S01010152,0.20263251310243463,1681.0,1948.0,2937,1302,1454.0,6092
S01010153,0.6047332093106533,884.0,575.0,1547,56,1935.0,4464
S01010154,0.5050998919336804,640.0,278.0,1269,208,2763.0,5598
S01010155,0.6162826015774865,1222.0,1621.0,1390,719,3211.0,6570
S01010156,0.2528072349255996,719.0,928.0,337,205,2133.0,5401
S01010157,0.3991444991279576,106.0,201.0,561,147,853.0,4470
S01010158,0.2971361057665445,1029.0,1154.0,2128,861,797.0,6249
S01010159,0.36529347400951034,746.0,393.0,2587,600,1069.0,5583
S01010160,0.07777461681708535,124.0,78.0,749,143,183.0,1534
S01010161,0.20582572865163892,1747.0,1668.0,1803,1383,361.5,4121
S01010162,0.047266445478731885,130.0,106.0,343,1187,1462.0,1498
S01010163,0.23687493854108801,105.0,87.0,175,21,560.0,3467
S01010164,0.2829707715392074,649.0,790.0,984,401,1928.0,4998
S01010165,0.09306957806319352,221.0,198.0,201,184,448.0,2727
S01010166,0.32466523490362076,1614.0,1928.0,1227,1106,3292.0,2218
S01010167,0.3592177671104283,446.0,188.0,142,247,2587.0,4245
S01010168,0.05762655461261988,767.0,1380.0,1233,1417,2572.0,5296
S01010169,0.21126189480572843,359.0,631.0,287,491,1078.0,2629
S01010170,0.2997800627905839,551.0,629.0,366,329,634.0,2980
S01010171,0.3660963598099133,233.0,228.0,23,189,849.0,4743
S01010172,0.12607613193014874,322.0,311.0,1642,446,3567.0,6082
S01010173,0.4170990424321477,1964.0,1874.0,1525,1789,2342.0,5190
S01010174,0.39741334893214914,4133.0,4313.0,146,2930,299.0,4679
S01010175,0.5898399899053288,1158.0,842.0,1151,1492,737.0,4293
S01010176,0.3958550069634179,1725.0,2035.0,1685,1589,2278.0,5011
S01010177,0.1620570444639568,53.0,151.0,163,298,1239.0,5661
S01010178,0.5043259341389242,212.0,522.5,198,270,364.0,3168
S01010179,0.42890635573022146,219.0,195.0,48,57,2162.0,3630
S01010180,0.1909059232917343,2680.0,2804.0,2092,2094,1669.0,2791
S01010181,0.040227236936678755,189.0,246.0,290,55,1251.0,4097
S01010182,0.3983020865785085,3765.0,3543.0,3985,3184,3554.0,2607
S01010183,0.31738118127434406,564.0,390.0,879,340,1091.0,4487
S01010184,0.12376645142988324,696.0,827.5,726,851,2646.0,4285
S01010185,0.2983727000037861,443.0,897.0,481,675,1057.0,3903
S01010186,0.3823986942034106,4685.5,4681.0,3789,3542,5510.0,2378
S01010187,0.3975255892498252,3644.0,3321.0,5259,2622,6075.0,802
S01010188,0.3814691707507621,3795.0,3910.5,4719,2424,899.0,1240
S01010189,0.21438350635440168,5297.0,6061.0,4681,5671,3929.0,2437
S01010190,0.23558990038048314,5759.0,5726.0,6332,6525,4284.0,1885
S01010191,0.284104264309117,3721.0,4097.0,3940,4860,3994.0,2575
S01010192,0.4439001370106351,4877.0,5927.0,4754,5353,2535.0,3839
S01010193,0.30557384430270274,4506.0,4556.0,4995,3499,3000.0,2426
S01010194,0.589216437537896,1646.0,951.0,2006,692,4897.0,4788
S01010195,0.5090907089600253,1087.0,1465.0,1653,1042,5589.0,4124
S01010196,0.06578370860747225,890.0,1001.0,838,504,1943.0,5799
S01010197,0.3807056095100851,508.0,801.0,530,260,1113.0,5808
S01010198,0.40011808211175787,612.0,434.0,392,104,277.0,4709
S01010199,0.2508157679289675,610.0,578.0,682,516,3472.0,4521
S01010200,0.2723369953629425,1208.0,1982.0,1274,1022,2825.0,5065
S01010201,0.2927939395726401,2507.5,2686.0,1426,2005,2536.0,5092
S01010202,0.06718772576499803,162.0,172.0,80,265,415.0,4397
S01010203,0.43874664161098137,4683.0,4723.5,3342,4455,5452.0,3923
S01010204,0.3097792702764782,127.0,206.0,160,264,2638.0,4177
S01010205,0.28434320405401486,532.0,333.0,349,93,2006.0,5082
S01010206,0.0869194613111566,6969.0,6974.0,811,3436,6928.0,1682
S01010207,0.017632568902004833,5.0,11.0,526,42,109.0,4626
S01010208,0.02862322339294776,1595.0,1563.0,1427,649,885.0,6321
S01010209,0.3315670281682849,209.0,85.0,489,131,82.0,5132
S01010210,0.5341305918592971,1639.0,1495.0,2307,871,3234.0,4901
S01010211,0.02682079233938096,351.0,352.0,813,335,1047.0,6553
S01010212,0.08064965467273744,73.0,56.0,871,85,59.0,5984
S01010213,0.37049112136707074,947.0,1245.0,1340,392,2567.5,6302
S01010214,0.21068999870473093,3323.0,3529.0,3533,3297,2276.0,3419
S01010215,0.02917657831741737,169.0,264.0,717,279,250.0,6741
S01010216,0.26351573136681844,125.0,29.0,336,369,1070.0,4851
S01010217,0.044439025851794066,232.0,544.0,831,757,78.0,6305
S01010218,0.27243316065635886,422.0,455.0,1395,427,440.0,6627
S01010219,0.24057181599891023,2579.5,2786.0,3073,4035,6614.5,2790
S01010220,0.08132609993349017,5961.0,6601.0,5975,6867,2038.0,2867
S01010221,0.13013223518706085,147.0,149.0,177,28,1410.0,5547
S01010222,0.26597913366339615,822.0,1128.0,2944,1793,930.0,5050
S01010223,0.07850064499753001,654.0,491.0,663,108,1384.0,4274
S01010224,0.06233245397520507,33.0,159.0,131,103,428.0,5694
S01010225,0.1030479033326276,845.0,569.0,1202,746,164.0,5743
S01010226,0.16430570589803703,6969.0,6974.0,3517,4559,6928.0,4634
S01010227,0.05426774941679598,6969.0,6974.0,1774,4823,6879.0,2053
S01010228,0.13401804661982195,208.0,134.0,613,124,580.0,3656
S01010229,0.08132824560137991,960.0,981.0,2327,580,1339.0,3047
S01010230,0.1340614371504788,48.0,38.0,1149,173,370.0,4891
S01010231,0.1678684475912546,211.0,314.0,1806,191,963.0,3682
S01010232,0.1480928869948894,1497.0,1624.0,1415,865,1360.0,3876
S01010233,0.3753058787337914,318.0,421.0,1245,126,1483.0,2899
S01010234,0.4405768923004917,3332.0,3759.0,3713,3185,1634.0,6955
S01010235,0.12383495231596493,4533.0,6261.0,2402,3397,5141.0,5545
S01010236,0.28395618612460716,2900.0,2988.0,2709,2383,2876.0,6192
S01010237,0.5992556660252324,3145.0,3825.0,3485,3539,2822.0,6849
S01010238,0.4163313980982214,2772.0,3783.0,2016,2791,1889.0,6926
S01010239,0.6050043524309752,875.0,1608.0,1070,929,4510.0,6772
S01010240,0.38837157611087386,2524.5,2808.0,3120,2351,2985.0,6839
S01010241,0.39970267415331145,1926.0,2586.0,2123,1298,1361.0,4513
S01010242,0.11608324856645875,662.0,879.0,927,439,1159.0,4029
S01010243,0.16027865379179482,764.0,997.0,1144,1393,288.0,4547
S01010244,0.20407042348508267,747.0,1077.0,1053,1463,345.0,6757
S01010245,0.13985167333215032,3.0,7.0,6,3,515.0,3352
S01010246,0.10828636455898404,368.0,493.0,656,244,2315.0,3834
S01010247,0.3428442346666753,1305.0,1902.0,3148,926,1606.0,3668
S01010248,0.5276257880618355,4016.0,4518.0,3071,3954,2951.0,6759
S01010249,0.3683786626017281,3399.0,3889.0,3428,3212,1720.0,6854
S01010250,0.39204327966245545,4444.0,5689.0,1754,4458,1217.0,6943
S01010251,0.48996716121375844,5546.0,6147.0,4597,6550,3825.0,6640
S01010252,0.34755116670055025,2998.0,3095.0,3715,2730,1218.0,6728
S01010253,0.28956139121938657,93.0,235.0,419,66,937.0,4529
S01010254,0.03993380326527806,1311.0,1962.0,1280,1003,2605.0,6168
S01010255,0.13163336055848876,201.0,521.0,1317,480,1860.0,5812
S01010256,0.30512160107062014,456.5,279.0,823,300,2496.0,6953
S01010257,0.21055993717864133,3565.0,3537.0,1066,2205,1275.0,1795
S01010258,0.21840311277553587,6964.0,6966.0,6398,6976,5135.0,1404
S01010259,0.42215451432565976,1794.0,1970.0,1840,1824,2914.0,2128
S01010260,0.3636221080492936,4327.0,4694.0,3172,4866,579.0,1689
S01010261,0.23880445442970955,3473.0,4436.0,3967,3390,2779.0,1349
S01010262,0.2666402726972387,230.0,308.0,3229,182,22.0,3160
S01010263,0.15678257419799496,5432.0,5827.0,3966,5868,464.0,2031
S01010264,0.05569505837617354,2696.0,2422.0,72,3178,20.0,2196
S01010265,0.2752890613856522,6951.0,6962.0,6715,6971,137.0,2535
S01010266,0.3278685646025395,4246.0,5920.0,1508,5572,93.0,5309
S01010267,0.1131977089403287,4553.0,2883.0,3295,5542,40.0,5897
S01010268,0.26517213821919267,3404.0,3708.0,4167,3421,1950.0,6455
S01010269,0.2693235031601084,3393.0,4176.0,3290,3715,1107.0,5416
S01010270,0.19279454070611474,432.0,369.0,1725,253,369.0,2503
S01010271,0.1553714778407631,2507.5,3539.0,1587,2792,14.0,5321
S01010272,0.3419995886455106,1000.0,970.0,735,1269,497.0,3787
S01010273,0.17962906779508744,5907.0,6220.0,5698,6939,86.0,2386
S01010274,0.184244022270303,6478.0,6529.0,2098,6585,3.0,1738
S01010275,0.31937554919641353,6233.0,6255.0,6065,6231,1.0,3615
S01010276,0.10511927671470464,6925.0,6891.0,2850,6920,2421.0,4432
S01010277,0.15260009879338624,887.0,796.0,777,731,1911.0,6327
S01010278,0.34850269791100513,672.0,1407.0,1783,1263,3706.0,5570
S01010279,0.6868032094353476,1224.0,1459.0,3454,987,1649.0,6965
S01010280,0.4572797538757677,3963.0,4492.0,4281,4468,1642.0,6425
S01010281,0.2041690445947629,4501.0,4864.0,5719,6321,2427.0,6730
S01010282,0.3457951723555433,1120.5,1413.0,2339,1112,3123.0,4546
S01010283,0.41191206615929554,4537.0,6053.0,2767,4634,193.0,5658
S01010284,0.25666789634750203,5904.0,6364.0,4724,6070,3240.0,4299
S01010285,0.6942255796078634,2560.0,3108.0,3259,2955,1341.0,6966
S01010286,0.23192285496682732,6357.0,6828.0,3066,6895,5368.0,5488
S01010287,0.426010753359708,5444.0,5854.0,6034,5820,1201.0,6908
S01010288,0.7527971890091938,5871.0,6581.0,6603,6849,2538.0,6825
S01010289,0.5985373413700631,6740.0,6665.0,6486,6822,2454.0,4999
S01010290,0.7774802428742569,3114.0,4002.0,3449,2860,2052.0,5668
S01010291,0.7988924460806041,3905.0,4581.0,6201,4190,2858.0,6066
S01010292,0.5714980090329173,5696.0,6460.0,5633,6590,4360.0,5203
S01010293,0.6226078858431067,2855.0,4702.0,4759,3780,4865.0,5918
S01010294,0.4950775747771554,4811.0,6499.5,4567,6148,3519.0,6143
S01010295,0.5359564319250882,4170.0,5569.0,3827,5934,2497.0,6731
S01010296,0.5860163530661437,1295.5,2315.0,1565,2222,859.0,6645
S01010297,0.0670209638053699,952.0,577.0,4557,873,275.0,5044
S01010298,0.2698550498222465,917.0,1437.0,2720,752,2286.0,6913
S01010299,0.18604912095338372,680.0,805.0,2730,813,3253.0,6801
S01010300,0.32283900183111824,1483.0,2066.0,1251,721,1437.0,6866
S01010301,0.13050533242458975,4017.5,4682.0,4263,5469,2192.0,6201
S01010302,0.15865855469415413,965.0,1105.5,1781,1730,2521.0,6081
S01010303,0.09632327565701071,975.0,1243.0,1698,2496,1253.0,6501
S01010304,0.18777113394199652,392.0,419.0,153,77,952.0,5782
S01010305,0.23204755627490406,635.0,1247.0,2788,640,831.0,6142
S01010306,0.3970941648239862,3611.0,3794.0,5027,3999,1304.0,6704
S01010307,0.31978651399210656,4949.0,5911.0,6481,6465,1901.0,5765
S01010308,0.5600497410625424,3969.0,4486.0,4295,4568,2758.0,6431
S01010309,0.029083755209486684,1175.0,1333.0,305,1248,2385.0,4749
S01010310,0.1075321650262871,464.0,428.0,818,425,1100.0,6010
S01010311,0.05619811526538694,183.0,349.0,117,150,154.0,6379
S01010312,0.1855413688359526,13.0,20.0,788,8,706.0,4028
S01010313,0.11048213838951315,63.0,116.0,695,79,1656.0,5569
S01010314,0.07571907348321603,860.0,1117.0,569,610,1020.0,4799
S01010315,0.3644882956335286,1098.0,2425.0,1480,2176,3491.0,4925
S01010316,0.3609505787697239,136.0,212.0,447,203,708.0,3805
S01010317,0.48477334310259823,2837.0,3598.0,3386,2373,999.0,6198
S01010318,0.36149538317112667,2254.0,3218.0,1093,2317,2283.0,3290
S01010319,0.30621847168993316,2805.0,3065.0,1344,3161,772.0,4806
S01010320,0.30441057304167235,1370.0,1248.0,653,1699,525.0,6252
S01010321,0.12061021647291593,1298.0,1908.0,3144,659,120.0,5818
S01010322,0.2665657894369118,5561.0,5502.5,6567,5382,2515.0,4954
S01010323,0.27557044188601326,1.0,6.0,328,1,291.0,6573
S01010324,0.05909689415418499,460.0,627.0,773,198,825.0,4037
S01010325,0.1768980599699436,395.0,497.0,580,251,3151.0,4140
S01010326,0.1576026438525299,21.0,54.0,47,33,134.0,5723
S01010327,0.10780863842780262,1030.0,1140.0,1273,165,1512.0,2262
S01010328,0.2950391949957067,1951.0,2499.0,1882,1167,738.0,3827
S01010329,0.4821530384859168,1799.0,1718.0,1187,2097,3351.0,2690
S01010330,0.16041853949195284,114.0,138.0,39,82,1027.0,3956
S01010331,0.1319184485621601,215.0,129.0,298,181,1441.0,4674
S01010332,0.1200572663810858,81.0,233.0,152,63,199.0,1642
S01010333,0.04089907807456004,309.0,340.0,1446,195,648.0,2206
S01010334,0.1569489098549905,1281.0,1646.0,1782,1341,2436.0,2513
S01010335,0.0929754222048187,526.0,612.0,816,153,1905.0,1659
S01010336,0.22078585016183044,119.0,50.0,66,68,892.0,5034
S01010337,0.13703225484782317,269.0,351.0,431,130,1989.0,4904
S01010338,0.09451677138184617,225.0,214.0,16,81,1187.0,4981
S01010339,0.09313517539834909,1105.0,1127.0,1606,1053,4202.0,5653
S01010340,0.343509590184583,473.0,819.0,1973,988,2472.0,1383
S01010341,0.6344177377228405,2486.0,2701.0,3815,2504,3900.0,4002
S01010342,0.45273366198128345,4287.0,4040.0,4150,3762,4923.0,2853
S01010343,0.8533477878216047,5339.0,4559.0,4176,3859,4781.0,2079
S01010344,0.3697509886175409,58.0,46.0,123,116,1628.0,2029
S01010345,1.0154789307583982,5185.0,5494.0,5749,5832,4057.0,796
S01010346,0.2705308047624745,3704.0,3833.0,3964,3252,3300.0,4379
S01010347,0.261831343898525,550.0,593.0,704,421,2058.0,1340
S01010348,0.7141471794143266,1960.0,1762.0,2077,1047,4542.0,3629
S01010349,0.33027387635713346,1094.0,1503.0,1745,986,2015.0,4768
S01010350,0.18495618450950194,350.0,637.0,1175,508,2627.0,1692
S01010351,0.09773275385183541,1548.0,2155.0,1682,2656,2556.0,1727
S01010352,0.16788613330937194,391.0,400.0,582,657,2019.0,3109
S01010353,0.08793753983591295,102.0,58.0,323,162,388.0,3947
S01010354,0.1705584849389169,652.0,919.5,1560,381,2068.0,4095
S01010355,0.1843833629304963,552.0,509.0,1003,222,910.0,3093
S01010356,0.11193345908906033,1405.0,1676.0,2815,2497,865.0,2181
S01010357,0.028421705132036075,273.0,63.0,1327,149,1449.0,3496
S01010358,0.17777650640115605,157.0,76.0,636,218,236.0,5089
S01010359,0.30711103831326964,84.0,152.0,311,404,218.0,6109
S01010360,0.1912309080121959,332.0,756.0,724,486,646.0,6088
S01010361,0.18412884256100323,185.0,32.0,506,297,216.0,3836
S01010362,0.23948920156069695,27.0,2.0,338,87,71.0,5122
S01010363,0.28615999465009107,3614.0,3550.0,5854,4307,4534.0,3253
S01010364,0.2799774757180746,5727.5,5842.0,6763,5787,4147.5,2647
S01010365,0.7892701144016734,5837.0,6388.0,6806,5631,4031.0,3698
S01010366,0.35820560431990744,5679.0,5571.0,5841,5102,6224.0,4770
S01010367,0.5676871000769874,6375.0,6716.0,6345,6677,4392.0,3970
S01010368,0.6224444998938411,5430.0,6402.0,6851,5479,2927.0,4505
S01010369,0.22337884582558318,2885.0,2795.0,4944,3159,2234.0,4755
S01010370,0.6209014791425825,6042.0,6375.0,6713,6629,2840.0,4347
S01010371,0.7077712949292876,5262.0,5836.0,5907,6407,1619.0,5260
S01010372,0.5902933552627803,6127.0,6707.0,6868,6704,2020.0,4300
S01010373,0.4479594705903116,5079.0,5139.0,6359,5202,3128.0,5560
S01010374,0.783324702448339,6872.0,6763.0,6849,6889,5928.0,6582
S01010375,0.9783841935881016,5362.5,5819.0,6287,6513,314.0,5294
S01010376,0.8450218684737967,4990.0,5679.0,6239,5878,3113.0,6906
S01010377,0.9342569911259331,4711.5,5884.0,4763,6619,2212.0,6746
S01010378,1.0771393889944887,5253.0,5215.0,6353,5284,2834.0,6062
S01010379,0.9571833545005111,3884.0,4160.0,3922,3940,752.0,6278
S01010380,0.5676254236187839,4689.0,5018.0,5512,4501,4459.0,6566
S01010381,0.30256876298474644,5127.0,5478.0,4909,4735,1637.0,4961
S01010382,0.41324041969708925,3310.0,3741.0,3853,3430,2647.0,6803
S01010383,0.35459551264464356,1048.0,791.0,2162,740,1431.0,6223
S01010384,0.6680621963480428,5737.0,6508.0,6330,6142,1798.0,4431
S01010385,0.4007321187533693,3256.0,3492.0,2286,3276,4395.0,6927
S01010386,0.20497249921099125,987.0,1350.0,1849,696,1042.0,6890
S01010387,0.17164379706013155,3465.0,4278.0,3185,3134,1855.0,5336
S01010388,0.45854556110469624,1003.0,1044.0,1872,703,1136.0,6877
S01010389,0.45175297774110357,6302.0,6573.0,4650,6707,4856.5,5068
S01010390,0.44634066516137133,2787.0,2728.0,4027,3126,2730.0,6888
S01010391,0.1267525166578008,2212.0,1923.0,2297,2704,2091.0,6777
S01010392,0.31142686117475404,6083.5,6824.0,6039,6968,4584.0,3949
S01010393,0.29033446112376016,3986.0,4883.0,3984,3603,2695.0,6799
S01010394,0.3140697936457875,262.0,113.0,2356,274,1718.0,5290
S01010395,0.27610123433730654,2003.0,2916.0,3119,2509,3139.0,6776
S01010396,0.5402176166871225,2566.0,3305.0,4444,2225,3455.0,6963
S01010397,0.6701684661764704,4174.0,5339.0,5934,4594,4612.0,6930
S01010398,0.15966819129179866,5594.5,6007.0,6815,5239,2714.0,6667
S01010399,0.4853636388335552,6746.0,6733.0,6712,6896,4669.0,5592
S01010400,0.45714115593343224,6230.0,6484.0,6651,6393,2654.0,6654
S01010401,0.8012314012231251,3677.0,4619.0,5839,4536,3776.0,6946
S01010402,0.593952339803449,6073.0,6678.0,6743,6761,4104.0,6951
S01010403,0.8396322367275325,6028.0,6234.0,6861,5897,3586.0,6151
S01010404,1.0302266036112153,5348.5,6416.0,6048,6479,4023.0,6630
S01010405,0.8145454342569967,5629.0,5320.0,6920,6523,3747.0,4939
S01010406,1.0182876005467956,5783.0,5890.0,6116,6049,3788.0,5614
S01010407,0.9730457119394882,5233.0,6423.0,6492,5780,2262.0,6210
S01010408,0.9267295233473335,2813.0,1543.0,6485,3120,3133.0,4388
S01010409,1.0633111939600022,6611.0,5683.0,6890,6283,5268.0,4491
S01010410,1.0534862324443677,6907.0,6262.0,6729,6457,3206.0,4404
S01010411,1.138179587989006,6430.0,6359.0,6914,6778,2084.0,3962
S01010412,0.8088219645138162,6070.0,4733.0,6583,6072,564.0,2656
S01010413,0.7503084707380258,6225.0,5796.0,6901,5391,2469.5,3217
S01010414,0.792589742892875,4554.0,5360.0,6793,4974,4949.0,5491
S01010415,0.408058717461126,1108.0,709.0,3301,754,974.0,6447
S01010416,0.6823182948067795,6046.5,6517.0,6856,6006,3983.5,2744
S01010417,0.62965176150379,6403.0,6723.0,6650,6207,5124.0,5104
S01010418,0.481221141787332,5326.0,6001.5,6391,6168,3370.0,5579
S01010419,0.3083152819855877,5988.0,6251.0,6665,6146,6142.0,5053
S01010420,0.7520376899873596,5341.0,5504.0,6770,5390,3204.0,4207
S01010421,0.3628864035097245,5347.0,5163.5,6812,5522,2048.0,3331
S01010422,0.363534207498231,3478.0,3404.0,6284,3105,3274.0,6591
S01010423,0.24752003791433072,405.0,405.0,1584,413,1289.0,5552
S01010424,0.09660824265310348,634.0,846.0,2752,383,2044.0,6710
S01010425,0.5093542124668233,281.5,287.0,928,409,554.0,6944
S01010426,0.2835735305533367,1143.0,1034.0,2142,1744,2321.0,6875
S01010427,0.601434165301411,646.0,660.0,1959,1285,2208.0,6787
S01010428,0.6208043053376299,4323.0,4863.0,6151,4477,4165.0,5177
S01010429,0.27942466867458976,5387.5,4835.0,6642,5411,3675.0,6904
S01010430,0.5145878479245022,669.0,839.0,1263,1043,1722.0,6673
S01010431,0.5397371114838788,6206.0,5732.0,6924,6261,3500.0,6136
S01010432,0.02527963067241256,809.0,1099.0,2633,1212,1101.0,6633
S01010433,0.2520819386547746,101.0,222.0,861,422,508.0,6942
S01010434,0.3765147439297068,74.0,216.0,442,273,2463.0,6903
S01010435,0.34114597727948104,1314.0,2342.0,2283,912,672.0,6738
S01010436,0.19422600136386775,381.0,284.0,776,472,468.0,6724
S01010437,0.13902960281082788,1295.5,1681.0,2985,1623,2567.5,5052
S01010438,0.16443668796193045,703.0,818.0,1715,1333,1858.0,5116
S01010439,0.21794813750866052,744.0,1074.0,1846,1741,1623.0,4955
S01010440,0.37562676121994576,289.0,305.0,2594,463,787.0,4984
S01010441,0.20657762620139164,3366.0,3629.0,3158,3515,2328.0,5712
S01010442,0.00763849034845373,763.0,1061.0,800,1738,2002.0,5733
S01010443,0.48974428897196876,2704.5,3831.0,1590,2415,4635.0,5123
S01010444,0.4495325303920897,1383.0,1538.0,1321,732,2343.0,6609
S01010445,0.21667709784513442,1060.0,1021.0,1252,879,3684.0,5728
S01010446,0.13135498389996172,2663.0,3352.0,3420,2297,4248.0,4805
S01010447,0.7323947434354976,335.0,290.0,2362,514,2478.0,6121
S01010448,0.630784251188583,2232.0,2603.0,2288,2290,2934.0,5566
S01010449,0.3629904318073312,1447.0,1487.0,1640,1182,3142.0,5669
S01010450,1.0568545510484628,1341.0,1249.0,1262,1342,3492.0,4247
S01010451,0.8262544404758583,281.5,123.0,3243,538,587.0,5101
S01010452,0.3961538012613418,1990.0,1612.0,2298,1829,2954.0,6107
S01010453,0.6149828454523013,343.0,296.0,1537,887,866.0,5771
S01010454,0.459154375735773,1735.0,1501.0,2789,2451,3148.0,6325
S01010455,0.7604221105445178,62.0,18.0,940,23,684.0,3161
S01010456,0.9396542373778338,1841.0,2677.0,3993,880,4206.0,3457
S01010457,1.1573388978758778,2888.0,2331.0,3385,2462,298.0,5003
S01010458,0.7056819985577767,765.0,595.0,1315,992,1963.0,4912
S01010459,0.7504343409582677,1433.0,2101.0,1672,1493,5680.0,5319
S01010460,1.1536771207150394,4458.0,5752.0,5292,5888,5379.0,5130
S01010461,1.0075642881502687,688.0,299.0,1468,795,775.0,5248
S01010462,1.2096917372733205,40.0,147.0,321,608,900.0,4620
S01010463,1.1127465923430575,2723.0,3046.0,4388,2580,4173.0,5201
S01010464,1.3508458664516783,2073.0,2948.0,2816,2121,3051.0,4650
S01010465,0.11814730187643763,5527.0,5551.0,5697,4760,5231.0,1687
S01010466,0.5804643412121948,5443.0,5226.0,6342,5145,4545.0,4369
S01010467,0.4556823485039562,4523.0,4737.0,5758,3192,5100.0,4251
S01010468,0.2390624605650718,4546.0,5389.0,4289,5287,4050.0,3548
S01010469,0.39385008914902014,1440.5,1399.0,3037,1579,683.0,6688
S01010470,0.6360859491146273,1865.0,1895.0,1796,870,3048.0,6465
S01010471,0.6472050448101148,1314.0,2596.0,1196,1646,3339.0,5742
S01010472,0.4760198797937819,1496.0,2262.0,3153,1778,3298.0,3535
S01010473,0.047501256555611646,3871.0,3790.0,3266,4005,3964.0,6414
S01010474,0.2544120557597146,2620.0,3233.0,4534,3330,4885.0,5770
S01010475,0.27888223538432455,5359.0,5441.0,5445,4761,5774.0,3136
S01010476,0.5485349448006549,3155.0,4020.0,3792,2549,3098.0,6694
S01010477,0.9417910918563115,2583.0,2924.0,1820,2166,3648.0,6119
S01010478,0.4614132466846502,358.0,90.0,1825,188,2144.0,2600
S01010479,0.5246653572351898,1689.0,1796.0,2574,1074,3061.0,4345
S01010480,0.5868453415672779,1428.0,2249.0,2301,1581,1882.0,5306
S01010481,0.4225609682114553,94.0,332.0,460,359,3055.0,3816
S01010482,0.2922332122536583,1561.0,1715.0,3130,1127,5394.0,6047
S01010483,0.08373649697410485,1149.0,1187.0,1868,915,3571.0,3676
S01010484,0.38891063711221047,1381.0,2213.0,791,1232,3109.0,2418
S01010485,0.5782530308703738,2544.0,3765.0,2742,2989,2636.0,3152
S01010486,0.5721939330813771,5885.5,5458.0,5373,4835,1747.0,4167
S01010487,0.41042608334024455,3184.0,3436.0,3364,2839,5758.0,3454
S01010488,0.07807191209850073,329.0,789.0,410,282,1292.0,5095
S01010489,0.06394195126336846,915.0,726.0,642,1154,928.0,4144
S01010490,0.1351563612472711,107.0,391.0,261,367,871.0,4160
S01010491,0.20696751178842226,108.0,114.0,351,275,2976.0,3474
S01010492,0.17030972640101388,97.0,236.0,99,58,1565.0,5462
S01010493,0.11778963735532835,26.0,71.0,74,38,841.0,5368
S01010494,0.02125447993013298,755.0,1387.5,566,1454,1677.0,5982
S01010495,0.1002839620891078,96.0,82.0,251,15,863.0,3640
S01010496,0.18967929372660208,153.0,199.0,288,115,1600.0,6373
S01010497,0.26049728937874,403.0,445.0,680,52,2439.0,4459
S01010498,0.10923376638077217,298.0,459.5,91,412,2043.0,5061
S01010499,0.15855238262437227,41.0,75.0,64,78,80.0,6363
S01010500,0.09334374494806343,311.0,618.0,633,179,2280.0,6172
S01010501,0.17733309353806176,1024.0,990.5,1005,471,3308.0,5528
S01010502,0.11668196262165126,2026.0,2008.0,2322,1550,3410.0,5171
S01010503,0.247992108833071,198.0,480.0,463,243,1657.0,6385
