Datazone,dist_km,Income_Domain_Rank,Employment_Domain_Rank,Education_Domain_Rank,Health_Domain_Rank,Crime_Domain_Rank,Access_Domain_Rank
S01009844,0.14444519985790422,184.0,166.0,145,76,127.0,6770
S01009845,0.15222981654460319,1157.0,635.0,518,1259,350.0,6533
S01009846,0.4488347600725584,560.0,634.0,1450,562,925.0,5607
S01009847,0.14506822284831317,1316.0,741.0,1152,674,703.0,5391
S01009848,0.20648192174659194,687.0,855.0,885,357,1122.0,5324
S01009849,0.6207215324693608,790.0,1387.5,2033,857,1489.0,4780
S01009850,0.49855952540853865,1502.0,1840.0,2758,1568,4432.0,5751
S01009851,0.43066957119260296,681.0,556.0,1835,625,1374.0,4658
S01009852,0.7844448905943867,2205.0,2415.0,2626,1309,336.0,2613
S01009853,0.5980520540170864,2223.0,2145.0,2416,1472,2829.0,1214
S01009854,0.6546529799157556,1510.0,1175.0,2604,1068,2136.0,2271
S01009855,0.9927986149514636,3207.0,2334.0,1974,2163,3873.0,1874
S01009856,0.5379726185911792,2226.0,2543.0,3272,2744,3827.0,4574
S01009857,0.722742819458791,2650.0,2659.0,2517,2248,3380.0,3070
S01009858,0.5431402885660231,2622.0,2985.0,3299,1939,3272.0,3064
S01009859,0.09824630013209053,213.0,173.0,596,160,253.0,4168
S01009860,0.1819663437564601,88.0,84.0,507,62,279.0,4831
S01009861,0.109741835923184,599.0,543.0,183,415,490.0,4645
S01009862,0.17484817833312224,555.0,443.0,947,204,170.0,5719
S01009863,0.473553852656651,1446.0,973.0,1548,1151,555.0,6962
S01009864,0.09504570095822565,1196.0,2032.0,1281,1704,808.0,6632
S01009865,0.3598244034773102,3350.0,2503.0,3210,2604,2660.0,6479
S01009866,0.06460805345676189,1748.0,2447.0,2471,2099,1173.0,5406
S01009867,0.2766070313874808,2469.0,2779.0,2392,1324,1372.0,4666
S01009868,0.24158392896581074,3352.0,4800.0,3724,3556,2701.0,5736
S01009869,0.3119841761284078,2882.0,3104.0,2946,3788,1231.0,5699
S01009870,0.45527582383339305,2414.0,3312.0,1375,2579,1259.0,6740
S01009871,0.662246550367999,963.0,808.0,2278,868,1302.0,4758
S01009872,0.5866252060737134,2086.0,3053.0,2714,2924,764.0,6959
S01009873,0.3481129877903295,2304.0,2958.0,4628,2279,939.0,3574
S01009874,0.603898471551767,1055.0,844.0,2648,2160,724.0,1459
S01009875,0.3457296793343058,922.0,1205.0,2005,1186,1060.0,6135
S01009876,0.4224199802981488,301.0,780.0,1650,2044,882.0,5638
S01009877,0.8758290420245808,4636.0,4467.0,6106,5553,4283.0,5707
S01009878,0.5198944231027023,1022.0,2722.0,1893,2596,1785.0,6971
S01009879,0.5968367578910888,5844.0,6730.0,6316,6414,3535.0,2307
S01009880,0.2615249843177856,2841.0,4357.0,3548,3783,2990.0,3948
S01009881,0.16810265164331584,2399.5,3490.0,1033,3210,1382.0,6957
S01009882,0.0799049354782111,3474.0,4343.0,1898,4985,1409.0,5223
S01009883,0.23594241463541393,3183.0,4141.0,2294,3737,1839.0,6486
S01009884,0.364135116529918,1259.0,2858.0,1922,3175,1332.0,5685
S01009885,0.5529842590379651,2692.0,4121.0,2969,3182,2537.0,6574
S01009886,0.5119824947099606,932.0,2506.0,3595,2274,2151.0,6291
S01009887,0.6559723432213543,411.0,859.0,330,959,197.0,6625
S01009888,0.5345278083443954,1008.0,2708.0,71,3462,748.0,6894
S01009889,0.5353467601944325,442.0,1276.0,1215,1713,377.0,6937
S01009890,0.6106093515550023,1205.0,947.0,1218,1649,717.0,6973
S01009891,0.36905832576014835,1765.5,2112.0,2456,2244,800.0,6795
S01009892,0.5308264814390071,336.0,402.0,1296,429,840.0,6769
S01009893,0.5453647663260103,2148.0,2118.0,797,2391,397.0,6869
S01009894,0.6602418853289349,344.0,392.0,657,770,1396.0,6806
