Datazone,dist_km,indicator,rank
S01009758,0.5713026102467132,Income_Domain_Rank,5861.5
S01009759,0.2894445882050861,Income_Domain_Rank,23.0
S01009760,0.15933270421408904,Income_Domain_Rank,1083.0
S01009761,0.36229462369051496,Income_Domain_Rank,2784.0
S01009762,0.31701896531972296,Income_Domain_Rank,830.0
S01009763,0.6702832977316017,Income_Domain_Rank,5008.0
S01009764,0.6450359348655097,Income_Domain_Rank,577.0
S01009765,0.5857524509985077,Income_Domain_Rank,2062.0
S01009766,0.48203927587863626,Income_Domain_Rank,4678.0
S01009767,0.9266746729072894,Income_Domain_Rank,2348.0
S01009768,0.03849876445152884,Income_Domain_Rank,1279.0
S01009769,0.22276228292805464,Income_Domain_Rank,4126.0
S01009770,0.7086327620716472,Income_Domain_Rank,4071.0
S01009771,0.38843802256383925,Income_Domain_Rank,3593.0
S01009772,0.48139304143771505,Income_Domain_Rank,4684.0
S01009773,0.49268494068367197,Income_Domain_Rank,3715.0
S01009774,0.7686715819968776,Income_Domain_Rank,3631.0
S01009775,0.8866678029984089,Income_Domain_Rank,155.0
S01009776,0.23492742600366873,Income_Domain_Rank,77.0
S01009777,0.436333771306881,Income_Domain_Rank,331.0
S01009778,0.20395760152173795,Income_Domain_Rank,181.0
S01009779,0.1256906527334853,Income_Domain_Rank,235.0
S01009780,0.8149017417356218,Income_Domain_Rank,132.0
S01009781,0.4242788789418752,Income_Domain_Rank,390.0
S01009782,0.6234371404490371,Income_Domain_Rank,1770.0
S01009783,0.4668928162827543,Income_Domain_Rank,308.0
S01009784,0.07995722441993622,Income_Domain_Rank,164.0
S01009785,0.19011751993498108,Income_Domain_Rank,394.0
S01009786,0.6259141689639823,Income_Domain_Rank,122.0
S01009787,0.2944969441844073,Income_Domain_Rank,188.0
S01009788,0.5233442653198285,Income_Domain_Rank,1624.0
S01009789,0.5627673835914,Income_Domain_Rank,997.0
S01009790,0.20296137929551983,Income_Domain_Rank,1791.0
S01009791,0.4930603018009711,Income_Domain_Rank,483.0
S01009792,0.5355736324962286,Income_Domain_Rank,4256.0
S01009793,1.0086604762810543,Income_Domain_Rank,4509.0
S01009794,0.7055611744916742,Income_Domain_Rank,5735.0
S01009795,0.911152428147963,Income_Domain_Rank,5378.0
S01009796,0.9055687208157932,Income_Domain_Rank,4448.0
S01009797,0.2617206929720843,Income_Domain_Rank,4195.0
S01009798,0.6538869463584884,Income_Domain_Rank,5515.0
S01009799,0.05080612309980742,Income_Domain_Rank,91.0
S01009800,0.747905102517027,Income_Domain_Rank,968.0
S01009801,0.35903337340557284,Income_Domain_Rank,478.0
S01009802,0.5661373686545854,Income_Domain_Rank,819.5
S01009803,0.5514169684294857,Income_Domain_Rank,421.0
S01009804,0.26628602483230085,Income_Domain_Rank,2729.0
S01009805,0.6578626048189783,Income_Domain_Rank,579.0
S01009806,0.045701977081548086,Income_Domain_Rank,1217.0
S01009807,0.36333773338645675,Income_Domain_Rank,2135.0
S01009808,0.43323758108324273,Income_Domain_Rank,2203.0
S01009809,0.5870996797126903,Income_Domain_Rank,1908.0
S01009810,0.34168114926159976,Income_Domain_Rank,418.0
S01009811,0.5092719447719027,Income_Domain_Rank,730.0
S01009812,0.632552397715158,Income_Domain_Rank,1210.0
S01009813,0.4164047490128172,Income_Domain_Rank,95.0
S01009814,0.6074856638361208,Income_Domain_Rank,2724.0
S01009815,0.6541554468391589,Income_Domain_Rank,1591.0
S01009816,0.8941551223142151,Income_Domain_Rank,2698.0
S01009817,0.37330691590533105,Income_Domain_Rank,1475.0
S01009818,0.939867801424023,Income_Domain_Rank,4052.0
S01009819,0.9429841651175731,Income_Domain_Rank,2366.0
S01009820,0.8519643266881582,Income_Domain_Rank,2467.0
S01009821,0.9406679134468725,Income_Domain_Rank,3255.0
S01009822,1.4011974986908824,Income_Domain_Rank,1828.0
S01009823,1.1283253895432903,Income_Domain_Rank,931.0
S01009824,1.0988210696330798,Income_Domain_Rank,1264.0
S01009825,0.9077313129801746,Income_Domain_Rank,1061.0
S01009826,0.9821329053082849,Income_Domain_Rank,818.0
S01009827,1.281516828606016,Income_Domain_Rank,1113.0
S01009828,1.2118047206336593,Income_Domain_Rank,144.0
S01009829,0.49373065359979745,Income_Domain_Rank,1228.0
S01009830,0.34829755029974857,Income_Domain_Rank,1410.0
S01009831,0.5825124250414613,Income_Domain_Rank,3025.0
S01009832,0.8895486181249619,Income_Domain_Rank,2577.0
S01009833,0.11699638732805737,Income_Domain_Rank,2648.0
S01009834,0.22735776519664555,Income_Domain_Rank,911.0
S01009835,0.4302364273558251,Income_Domain_Rank,737.0
S01009836,0.36472537903190855,Income_Domain_Rank,3036.0
S01009837,0.6321538949769726,Income_Domain_Rank,780.0
S01009838,0.6023256651109223,Income_Domain_Rank,833.0
S01009839,0.3756500765269871,Income_Domain_Rank,409.0
S01009840,0.24486565872675947,Income_Domain_Rank,870.0
S01009841,0.19984271996738087,Income_Domain_Rank,1038.5
S01009842,0.14737998024562873,Income_Domain_Rank,363.0
S01009843,0.16448456792977803,Income_Domain_Rank,51.0
S01009844,0.14444519985790422,Income_Domain_Rank,184.0
S01009845,0.15222981654460319,Income_Domain_Rank,1157.0
S01009846,0.4488347600725584,Income_Domain_Rank,560.0
S01009847,0.14506822284831317,Income_Domain_Rank,1316.0
S01009848,0.20648192174659194,Income_Domain_Rank,687.0
S01009849,0.6207215324693608,Income_Domain_Rank,790.0
S01009850,0.49855952540853865,Income_Domain_Rank,1502.0
